Ind_0_M,Ind_1_M,Ind_2_F_expected,Ind_3_F,Ind_4_M_expected,Ind_5_F,Ind_6_M,Ind_7_F_expected,Ind_8_F,Ind_9_F,Ind_10_F,Ind_11_F_expected,Ind_12_M,Ind_13_M,Ind_14_M,Ind_15_M,Ind_16_M,Ind_17_M_expected,Ind_18_M_expected,Ind_19_M
0,610,794,497,801,252,741,508,582,734,626,720,274,380,574,733,416,402,906,534
610,0,505,522,596,844,635,484,372,461,379,523,338,405,598,609,186,548,704,222
794,505,0,388,342,523,630,370,516,559,783,371,469,420,717,965,445,931,724,896
497,522,388,0,333,366,206,669,650,736,757,628,730,185,540,665,375,489,355,640
801,596,342,333,0,417,669,539,552,972,616,333,759,752,459,637,610,337,510,234
252,844,523,366,417,0,464,926,752,360,946,516,545,416,272,515,498,722,697,556
741,635,630,206,669,464,0,360,617,557,599,471,627,420,372,663,863,504,682,476
508,484,370,669,539,926,360,0,612,283,542,326,619,546,498,600,577,373,558,548
582,372,516,650,552,752,617,612,0,224,719,697,292,444,376,704,990,592,377,249
734,461,559,736,972,360,557,283,224,0,485,791,336,607,384,862,166,231,789,625
626,379,783,757,616,946,599,542,719,485,0,784,404,379,280,476,595,811,436,581
720,523,371,628,333,516,471,326,697,791,784,0,614,405,390,622,375,863,748,772
274,338,469,730,759,545,627,619,292,336,404,614,0,418,615,543,311,335,523,524
380,405,420,185,752,416,420,546,444,607,379,405,418,0,317,538,593,311,699,611
574,598,717,540,459,272,372,498,376,384,280,390,615,317,0,515,838,482,843,549
733,609,965,665,637,515,663,600,704,862,476,622,543,538,515,0,395,774,719,558
416,186,445,375,610,498,863,577,990,166,595,375,311,593,838,395,0,683,534,471
402,548,931,489,337,722,504,373,592,231,811,863,335,311,482,774,683,0,541,726
906,704,724,355,510,697,682,558,377,789,436,748,523,699,843,719,534,541,0,703
534,222,896,640,234,556,476,548,249,625,581,772,524,611,549,558,471,726,703,0
