Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,240,0,0
Ind_1_F,0,1,-1,384,1,0
Ind_2_F,0,1,-1,256,0,0
Ind_3_F,0,1,-1,160,1,0
Ind_4_M,1,0,-1,16,0,0
Ind_5_F,0,1,-1,48,0,0
Ind_6_F,0,1,-1,288,1,0
Ind_7_F,0,1,-1,208,1,0
Ind_8_M,1,0,-1,320,0,0
Ind_9_M,1,0,-1,80,0,0
Ind_10_F,0,1,-1,272,1,0
Ind_11_M,1,0,-1,224,0,0
Ind_12_M,1,0,-1,400,1,0
Ind_13_M,1,0,-1,192,0,0
Ind_14_F,0,1,-1,32,1,0
Ind_15_M,1,0,-1,176,0,0
Ind_16_F,0,1,-1,64,0,0
Ind_17_M,1,0,-1,96,1,0
Ind_18_F,0,1,-1,368,1,0
Ind_19_F,0,1,-1,128,1,0
Ind_20_F,0,1,-1,144,1,0
Ind_21_F,0,1,-1,336,1,0
Ind_22_F,0,1,-1,352,1,0
Ind_23_F,0,1,-1,112,0,0
Ind_24_M,1,0,-1,304,1,0
