Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,600,0,0
Ind_1_F,0,1,-1,280,0,0
Ind_2_M,1,0,-1,80,0,0
Ind_3_F,0,1,-1,960,0,0
Ind_4_F,0,1,-1,720,0,0
Ind_5_F,0,1,-1,840,0,0
Ind_6_M,1,0,-1,560,0,0
Ind_7_M,1,0,-1,880,0,0
Ind_8_M,1,0,-1,680,1,0
Ind_9_F,0,1,-1,520,1,0
Ind_10_M,1,0,-1,920,1,0
Ind_11_M,1,0,-1,480,0,0
Ind_12_M,1,0,-1,40,1,0
Ind_13_F,0,1,-1,240,0,0
Ind_14_M,1,0,-1,320,0,0
Ind_15_M,1,0,-1,400,1,0
Ind_16_F,0,1,-1,200,1,0
Ind_17_M,1,0,-1,800,0,0
Ind_18_M,1,0,-1,360,1,0
Ind_19_F,0,1,-1,160,0,0
Ind_20_F,0,1,-1,760,0,0
Ind_21_F,0,1,-1,440,1,0
Ind_22_M,1,0,-1,120,1,0
Ind_23_M,1,0,-1,1000,0,0
Ind_24_F,0,1,-1,640,0,0
