Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,220,1,0
Ind_1_F,0,1,-1,179,1,0
Ind_2_F,0,1,-1,262,0,0
Ind_3_M,1,0,-1,88,1,0
Ind_4_M,1,0,-1,311,0,0
Ind_5_M,1,0,-1,138,1,0
Ind_6_F,0,1,-1,126,0,0
Ind_7_F,0,1,-1,148,0,0
Ind_8_M,1,0,-1,252,0,0
Ind_9_F,0,1,-1,289,1,0
Ind_10_F,0,1,-1,156,0,0
Ind_11_F,0,1,-1,186,0,0
Ind_12_F,0,1,-1,235,1,0
Ind_13_F,0,1,-1,0,1,0
Ind_14_F,0,1,-1,274,0,0
Ind_15_F,0,1,-1,172,0,0
Ind_16_M,1,0,-1,213,1,0
Ind_17_F,0,1,-1,228,1,0
Ind_18_M,1,0,-1,111,0,0
Ind_19_F,0,1,-1,193,1,0
Ind_20_M,1,0,-1,200,0,0
Ind_21_F,0,1,-1,400,1,0
Ind_22_F,0,1,-1,164,1,0
Ind_23_F,0,1,-1,243,0,0
Ind_24_M,1,0,-1,206,1,0
