Ind_0_F,Ind_1_F,Ind_2_F,Ind_3_M,Ind_4_M,Ind_5_M,Ind_6_F,Ind_7_F,Ind_8_M,Ind_9_F,Ind_10_F,Ind_11_F,Ind_12_F,Ind_13_F,Ind_14_F,Ind_15_F,Ind_16_M,Ind_17_F,Ind_18_M,Ind_19_F,Ind_20_M,Ind_21_F,Ind_22_F,Ind_23_F,Ind_24_M
0,154,233,181,231,333,181,263,113,83,84,111,84,154,309,216,298,104,297,26,244,91,269,113,225
154,0,267,313,298,64,144,121,128,121,261,207,185,240,242,272,197,72,285,97,103,294,100,322,236
233,267,0,167,119,71,214,203,304,78,88,150,154,146,303,323,86,114,191,213,296,291,343,154,134
181,313,167,0,224,135,150,48,191,285,80,365,201,168,356,168,80,104,135,64,120,55,300,321,80
231,298,119,224,0,112,196,206,333,290,120,245,124,323,39,207,375,134,128,228,252,87,143,254,231
333,64,71,135,112,0,266,221,234,27,64,233,137,96,125,223,240,275,76,254,306,61,78,159,160
181,144,214,150,196,266,0,247,111,122,260,146,207,338,185,215,166,182,192,266,128,214,373,136,219
263,121,203,48,206,221,247,0,58,247,214,132,148,104,299,196,146,165,126,153,320,250,303,184,181
113,128,304,191,333,234,111,58,0,133,219,307,25,99,324,314,166,94,109,278,289,207,234,177,69
83,121,78,285,290,27,122,247,133,0,264,148,316,248,227,180,271,83,286,311,246,152,150,129,182
84,261,88,80,120,64,260,214,219,264,0,167,145,175,249,250,216,131,369,185,193,148,260,93,162
111,207,150,365,245,233,146,132,307,148,167,0,235,296,164,218,51,241,350,117,223,100,282,106,304
84,185,154,201,124,137,207,148,25,316,145,235,0,154,142,196,202,353,317,177,296,184,226,75,332
154,240,146,168,323,96,338,104,99,248,175,296,154,0,90,285,113,131,25,188,250,221,315,174,297
309,242,303,356,39,125,185,299,324,227,249,164,142,90,0,158,241,348,34,108,208,221,327,152,271
216,272,323,168,207,223,215,196,314,180,250,218,196,285,158,0,249,286,304,224,231,248,120,260,106
298,197,86,80,375,240,166,146,166,271,216,51,202,113,241,249,0,318,355,135,217,101,186,92,104
104,72,114,104,134,275,182,165,94,83,131,241,353,131,348,286,318,0,161,160,270,197,196,292,154
297,285,191,135,128,76,192,126,109,286,369,350,317,25,34,304,355,161,0,229,36,197,205,209,264
26,97,213,64,228,254,266,153,278,311,185,117,177,188,108,224,135,160,229,0,284,258,238,111,214
244,103,296,120,252,306,128,320,289,246,193,223,296,250,208,231,217,270,36,284,0,236,223,105,194
91,294,291,55,87,61,214,250,207,152,148,100,184,221,221,248,101,197,197,258,236,0,286,286,43
269,100,343,300,143,78,373,303,234,150,260,282,226,315,327,120,186,196,205,238,223,286,0,226,143
113,322,154,321,254,159,136,184,177,129,93,106,75,174,152,260,92,292,209,111,105,286,226,0,203
225,236,134,80,231,160,219,181,69,182,162,304,332,297,271,106,104,154,264,214,194,43,143,203,0
