Ind_0_M,Ind_1_F,Ind_2_F,Ind_3_F,Ind_4_F,Ind_5_F,Ind_6_M,Ind_7_M,Ind_8_M,Ind_9_M,Ind_10_F,Ind_11_M,Ind_12_M,Ind_13_M,Ind_14_F,Ind_15_M,Ind_16_F,Ind_17_M,Ind_18_M,Ind_19_M,Ind_20_M,Ind_21_F,Ind_22_M,Ind_23_F,Ind_24_F
0,62,35,63,69,80,34,46,75,54,37,55,55,54,32,62,62,58,44,59,9,63,61,89,26
62,0,88,42,28,64,83,41,67,12,77,45,62,91,47,84,72,91,45,48,29,76,70,45,50
35,88,0,69,54,92,75,56,55,23,61,23,58,63,16,42,63,30,75,62,59,52,12,43,70
63,42,69,0,78,57,61,58,46,80,43,55,45,39,28,80,56,50,16,93,34,21,42,46,85
69,28,54,78,0,30,50,77,67,24,35,82,90,70,73,52,33,2,59,82,62,67,49,72,43
80,64,92,57,30,0,52,43,23,65,69,77,40,66,52,86,56,38,77,53,50,43,51,70,86
34,83,75,61,50,52,0,29,33,56,56,69,10,43,68,44,69,72,7,36,66,33,43,49,66
46,41,56,58,77,43,29,0,56,67,74,62,40,52,19,51,66,49,57,46,34,12,52,42,46
75,67,55,46,67,23,33,56,0,66,46,35,76,48,24,21,43,74,59,27,82,36,72,46,29
54,12,23,80,24,65,56,67,66,0,40,58,85,67,45,44,43,79,60,85,69,52,39,49,46
37,77,61,43,35,69,56,74,46,40,0,17,55,43,37,75,59,29,40,61,60,51,83,41,74
55,45,23,55,82,77,69,62,35,58,17,0,51,43,52,54,17,90,34,53,68,57,34,58,88
55,62,58,45,90,40,10,40,76,85,55,51,0,42,30,61,78,69,68,18,61,34,41,32,51
54,91,63,39,70,66,43,52,48,67,43,43,42,0,71,60,62,42,44,34,48,76,71,66,44
32,47,16,28,73,52,68,19,24,45,37,52,30,71,0,48,56,14,62,82,38,21,49,57,51
62,84,42,80,52,86,44,51,21,44,75,54,61,60,48,0,67,45,55,3,23,75,55,21,77
62,72,63,56,33,56,69,66,43,43,59,17,78,62,56,67,0,35,59,76,50,44,23,66,61
58,91,30,50,2,38,72,49,74,79,29,90,69,42,14,45,35,0,21,71,26,48,55,31,42
44,45,75,16,59,77,7,57,59,60,40,34,68,44,62,55,59,21,0,70,34,53,51,48,70
59,48,62,93,82,53,36,46,27,85,61,53,18,34,82,3,76,71,70,0,64,32,53,22,25
9,29,59,34,62,50,66,34,82,69,60,68,61,48,38,23,50,26,34,64,0,29,58,12,52
63,76,52,21,67,43,33,12,36,52,51,57,34,76,21,75,44,48,53,32,29,0,24,75,48
61,70,12,42,49,51,43,52,72,39,83,34,41,71,49,55,23,55,51,53,58,24,0,27,56
89,45,43,46,72,70,49,42,46,49,41,58,32,66,57,21,66,31,48,22,12,75,27,0,65
26,50,70,85,43,86,66,46,29,46,74,88,51,44,51,77,61,42,70,25,52,48,56,65,0
