Ind_0_M,Ind_1_M,Ind_2_F,Ind_3_F,Ind_4_F,Ind_5_F,Ind_6_F,Ind_7_M,Ind_8_M,Ind_9_M,Ind_10_M,Ind_11_F,Ind_12_M,Ind_13_F,Ind_14_M,Ind_15_M,Ind_16_F,Ind_17_F,Ind_18_M,Ind_19_M,Ind_20_F,Ind_21_M,Ind_22_F,Ind_23_M,Ind_24_F
0,185,66,64,126,104,91,217,69,170,45,63,155,99,146,34,184,95,103,135,164,99,101,156,110
185,0,93,234,191,84,177,94,191,145,104,41,128,128,67,147,70,119,157,114,9,138,99,147,176
66,93,0,171,216,135,200,86,111,112,107,111,200,38,56,208,148,123,68,14,79,218,68,120,41
64,234,171,0,54,192,142,43,173,98,105,163,148,164,98,234,46,84,146,111,149,205,117,34,41
126,191,216,54,0,148,43,198,119,164,133,101,117,39,196,36,52,138,77,97,184,145,102,84,71
104,84,135,192,148,0,49,197,114,129,109,115,99,48,175,132,138,21,199,192,218,97,202,62,104
91,177,200,142,43,49,0,126,111,152,28,133,139,102,202,114,103,140,142,181,146,129,28,157,143
217,94,86,43,198,197,126,0,93,239,93,181,115,132,68,68,42,116,126,141,129,117,194,118,198
69,191,111,173,119,114,111,93,0,111,186,163,84,136,150,194,201,128,91,145,56,59,147,31,146
170,145,112,98,164,129,152,239,111,0,141,186,167,106,182,42,137,179,183,164,96,56,46,73,21
45,104,107,105,133,109,28,93,186,141,0,144,92,181,161,93,94,134,46,207,171,209,229,158,141
63,41,111,163,101,115,133,181,163,186,144,0,22,200,176,46,187,90,133,140,128,93,174,117,23
155,128,200,148,117,99,139,115,84,167,92,22,0,100,78,121,130,136,89,132,199,32,68,140,138
99,128,38,164,39,48,102,132,136,106,181,200,100,0,116,132,114,80,102,41,204,24,143,192,90
146,67,56,98,196,175,202,68,150,182,161,176,78,116,0,157,126,86,173,96,189,142,35,182,139
34,147,208,234,36,132,114,68,194,42,93,46,121,132,157,0,104,211,165,225,60,88,154,173,152
184,70,148,46,52,138,103,42,201,137,94,187,130,114,126,104,0,123,57,65,171,61,166,113,151
95,119,123,84,138,21,140,116,128,179,134,90,136,80,86,211,123,0,142,148,131,81,168,222,124
103,157,68,146,77,199,142,126,91,183,46,133,89,102,173,165,57,142,0,43,115,132,76,102,68
135,114,14,111,97,192,181,141,145,164,207,140,132,41,96,225,65,148,43,0,156,156,74,186,117
164,9,79,149,184,218,146,129,56,96,171,128,199,204,189,60,171,131,115,156,0,228,170,200,111
99,138,218,205,145,97,129,117,59,56,209,93,32,24,142,88,61,81,132,156,228,0,160,75,43
101,99,68,117,102,202,28,194,147,46,229,174,68,143,35,154,166,168,76,74,170,160,0,205,204
156,147,120,34,84,62,157,118,31,73,158,117,140,192,182,173,113,222,102,186,200,75,205,0,168
110,176,41,41,71,104,143,198,146,21,141,23,138,90,139,152,151,124,68,117,111,43,204,168,0
