Ind_0_F,Ind_1_F,Ind_2_F,Ind_3_F,Ind_4_M,Ind_5_F,Ind_6_F,Ind_7_F,Ind_8_M,Ind_9_M,Ind_10_F,Ind_11_M,Ind_12_M,Ind_13_M,Ind_14_F,Ind_15_M,Ind_16_F,Ind_17_M,Ind_18_F,Ind_19_F,Ind_20_F,Ind_21_F,Ind_22_F,Ind_23_F,Ind_24_M
0,150,193,338,39,36,193,204,216,120,208,264,312,329,277,287,283,251,94,228,290,151,125,212,202
150,0,305,100,166,128,86,288,282,289,350,123,161,173,241,169,316,161,204,293,70,284,86,338,139
193,305,0,68,295,289,232,274,243,322,179,202,118,227,294,104,88,178,188,139,240,236,79,222,378
338,100,68,0,203,123,226,187,148,235,120,240,281,84,291,201,205,197,197,242,212,180,200,135,350
39,166,295,203,0,375,109,54,181,238,108,63,196,164,104,84,37,184,134,114,186,249,259,103,40
36,128,289,123,375,0,137,115,210,156,144,128,173,241,160,251,374,185,117,176,309,172,191,303,235
193,86,232,226,109,137,0,204,187,100,179,197,176,258,266,146,169,182,218,274,237,182,263,91,294
204,288,274,187,54,115,204,0,205,173,306,163,249,197,289,244,287,83,105,154,154,268,296,254,377
216,282,243,148,181,210,187,205,0,266,232,280,36,199,115,116,57,168,352,55,182,311,168,337,257
120,289,322,235,238,156,100,173,266,0,246,253,192,345,225,89,339,318,201,122,250,196,198,72,85
208,350,179,120,108,144,179,306,232,246,0,153,217,102,101,322,226,134,204,338,156,76,300,243,248
264,123,202,240,63,128,197,163,280,253,153,0,300,41,152,216,63,302,96,206,80,77,288,303,369
312,161,118,281,196,173,176,249,36,192,217,300,0,226,205,270,302,326,288,279,254,206,149,60,154
329,173,227,84,164,241,258,197,199,345,102,41,226,0,280,179,112,245,86,194,164,240,103,73,214
277,241,294,291,104,160,266,289,115,225,101,152,205,280,0,150,334,196,195,281,123,125,182,225,18
287,169,104,201,84,251,146,244,116,89,322,216,270,179,150,0,240,221,280,148,95,111,200,299,272
283,316,88,205,37,374,169,287,57,339,226,63,302,112,334,240,0,180,136,195,101,203,263,9,217
251,161,178,197,184,185,182,83,168,318,134,302,326,245,196,221,180,0,172,240,254,198,222,219,352
94,204,188,197,134,117,218,105,352,201,204,96,288,86,195,280,136,172,0,158,190,260,52,147,123
228,293,139,242,114,176,274,154,55,122,338,206,279,194,281,148,195,240,158,0,297,217,183,211,190
290,70,240,212,186,309,237,154,182,250,156,80,254,164,123,95,101,254,190,297,0,61,159,247,145
151,284,236,180,249,172,182,268,311,196,76,77,206,240,125,111,203,198,260,217,61,0,179,161,224
125,86,79,200,259,191,263,296,168,198,300,288,149,103,182,200,263,222,52,183,159,179,0,268,233
212,338,222,135,103,303,91,254,337,72,243,303,60,73,225,299,9,219,147,211,247,161,268,0,149
202,139,378,350,40,235,294,377,257,85,248,369,154,214,18,272,217,352,123,190,145,224,233,149,0
