Ind_0_M,Ind_1_F,Ind_2_F,Ind_3_M,Ind_4_M,Ind_5_M,Ind_6_F,Ind_7_F,Ind_8_F,Ind_9_M,Ind_10_F,Ind_11_F,Ind_12_M,Ind_13_M,Ind_14_M,Ind_15_F,Ind_16_M,Ind_17_F,Ind_18_M,Ind_19_F,Ind_20_F,Ind_21_M,Ind_22_F,Ind_23_F,Ind_24_M
0,234,322,559,86,392,225,207,529,433,492,191,424,307,409,419,265,317,551,514,139,200,437,522,243
234,0,536,391,393,347,563,212,310,291,345,513,84,239,384,308,402,370,570,164,244,413,236,508,664
322,536,0,352,553,470,159,518,452,228,319,291,224,535,408,374,58,186,311,456,119,182,515,261,397
559,391,352,0,542,490,458,282,488,518,472,157,32,323,342,350,255,296,443,285,156,346,113,485,682
86,393,553,542,0,79,543,198,389,198,134,186,427,146,170,593,591,142,150,455,87,216,345,387,401
392,347,470,490,79,0,561,169,271,60,150,403,166,5,280,289,300,290,532,213,170,330,75,399,224
225,563,159,458,543,561,0,528,332,478,542,381,267,481,226,610,348,263,209,307,256,504,152,140,359
207,212,518,282,198,169,528,0,182,413,432,484,279,573,460,165,292,142,401,479,382,445,125,458,651
529,310,452,488,389,271,332,182,0,397,238,217,459,436,192,350,431,269,163,353,264,375,469,467,457
433,291,228,518,198,60,478,413,397,0,342,201,608,348,408,161,250,385,268,120,216,240,124,500,238
492,345,319,472,134,150,542,432,238,342,0,499,78,475,252,380,266,345,241,418,537,427,217,284,512
191,513,291,157,186,403,381,484,217,201,499,0,460,595,217,257,176,325,551,330,338,525,457,243,311
424,84,224,32,427,166,267,279,459,608,78,460,0,532,418,423,306,389,73,492,270,366,450,510,375
307,239,535,323,146,5,481,573,436,348,475,595,532,0,305,135,484,550,371,324,163,449,497,348,241
409,384,408,342,170,280,226,460,192,408,252,217,418,305,0,355,251,423,401,468,506,590,164,328,344
419,308,374,350,593,289,610,165,350,161,380,257,423,135,355,0,454,35,356,588,466,493,340,347,398
265,402,58,255,591,300,348,292,431,250,266,176,306,484,251,454,0,491,205,92,118,360,132,58,284
317,370,186,296,142,290,263,142,269,385,345,325,389,550,423,35,491,0,311,90,443,307,441,78,252
551,570,311,443,150,532,209,401,163,268,241,551,73,371,401,356,205,311,0,376,249,402,519,424,572
514,164,456,285,455,213,307,479,353,120,418,330,492,324,468,588,92,90,376,0,502,372,473,365,354
139,244,119,156,87,170,256,382,264,216,537,338,270,163,506,466,118,443,249,502,0,107,355,529,348
200,413,182,346,216,330,504,445,375,240,427,525,366,449,590,493,360,307,402,372,107,0,462,597,186
437,236,515,113,345,75,152,125,469,124,217,457,450,497,164,340,132,441,519,473,355,462,0,612,530
522,508,261,485,387,399,140,458,467,500,284,243,510,348,328,347,58,78,424,365,529,597,612,0,676
243,664,397,682,401,224,359,651,457,238,512,311,375,241,344,398,284,252,572,354,348,186,530,676,0
