Ind_0_M,Ind_1_F,Ind_2_M,Ind_3_F,Ind_4_F,Ind_5_F,Ind_6_M,Ind_7_M,Ind_8_M,Ind_9_F,Ind_10_M,Ind_11_M,Ind_12_M,Ind_13_F,Ind_14_M,Ind_15_M,Ind_16_F,Ind_17_M,Ind_18_M,Ind_19_F,Ind_20_F,Ind_21_F,Ind_22_M,Ind_23_M,Ind_24_F
0,561,662,439,192,632,541,489,836,545,873,413,370,822,746,755,504,224,233,891,314,69,588,360,393
561,0,332,694,119,872,294,602,654,255,693,715,595,494,338,252,480,539,214,190,563,173,321,263,848
662,332,0,714,448,676,601,456,506,601,386,429,548,478,638,390,217,562,293,161,482,57,671,582,639
439,694,714,0,239,670,207,511,642,450,416,576,530,413,369,967,469,379,788,360,380,545,206,499,302
192,119,448,239,0,456,906,522,933,586,583,491,353,389,510,762,362,720,491,601,928,491,726,859,629
632,872,676,670,456,0,153,460,520,613,701,318,223,854,451,469,356,634,598,409,606,520,665,569,760
541,294,601,207,906,153,0,482,701,582,442,399,391,380,828,386,540,528,491,457,105,524,532,500,794
489,602,456,511,522,460,482,0,803,578,490,656,654,273,317,500,262,491,423,441,120,724,566,678,726
836,654,506,642,933,520,701,803,0,317,148,631,62,436,539,775,248,337,387,652,435,517,301,540,531
545,255,601,450,586,613,582,578,317,0,508,557,541,238,357,373,943,631,836,578,584,759,575,512,538
873,693,386,416,583,701,442,490,148,508,0,464,170,668,488,207,664,535,505,857,737,479,534,311,776
413,715,429,576,491,318,399,656,631,557,464,0,427,393,683,657,925,643,544,512,830,466,686,532,564
370,595,548,530,353,223,391,654,62,541,170,427,0,542,256,375,264,68,443,516,826,432,654,726,848
822,494,478,413,389,854,380,273,436,238,668,393,542,0,385,900,514,413,776,335,108,326,770,841,849
746,338,638,369,510,451,828,317,539,357,488,683,256,385,0,467,680,819,293,837,329,276,435,348,507
755,252,390,967,762,469,386,500,775,373,207,657,375,900,467,0,479,782,580,848,786,603,599,575,782
504,480,217,469,362,356,540,262,248,943,664,925,264,514,680,479,0,497,503,659,506,839,747,657,764
224,539,562,379,720,634,528,491,337,631,535,643,68,413,819,782,497,0,772,190,548,844,304,156,733
233,214,293,788,491,598,491,423,387,836,505,544,443,776,293,580,503,772,0,383,342,156,375,518,264
891,190,161,360,601,409,457,441,652,578,857,512,516,335,837,848,659,190,383,0,274,442,518,499,260
314,563,482,380,928,606,105,120,435,584,737,830,826,108,329,786,506,548,342,274,0,684,620,391,764
69,173,57,545,491,520,524,724,517,759,479,466,432,326,276,603,839,844,156,442,684,0,460,727,725
588,321,671,206,726,665,532,566,301,575,534,686,654,770,435,599,747,304,375,518,620,460,0,590,370
360,263,582,499,859,569,500,678,540,512,311,532,726,841,348,575,657,156,518,499,391,727,590,0,813
393,848,639,302,629,760,794,726,531,538,776,564,848,849,507,782,764,733,264,260,764,725,370,813,0
