Ind_0_F,Ind_1_F,Ind_2_M,Ind_3_M,Ind_4_F,Ind_5_M,Ind_6_M,Ind_7_F,Ind_8_M,Ind_9_M,Ind_10_F,Ind_11_F,Ind_12_M,Ind_13_M,Ind_14_F,Ind_15_F,Ind_16_F,Ind_17_F,Ind_18_M,Ind_19_F
0,664,260,417,485,545,86,372,493,425,294,650,608,478,70,693,451,377,150,443
664,0,204,341,451,498,556,275,326,349,453,566,611,629,178,303,327,462,459,271
260,204,0,439,374,334,242,227,392,325,589,643,651,673,308,148,250,347,504,237
417,341,439,0,548,681,520,349,196,350,654,595,609,404,174,208,535,350,410,209
485,451,374,548,0,338,501,155,387,366,598,732,462,276,697,309,386,443,594,411
545,498,334,681,338,0,215,103,467,481,323,362,549,440,644,522,352,414,278,279
86,556,242,520,501,215,0,442,331,599,517,97,289,202,699,208,390,216,177,313
372,275,227,349,155,103,442,0,325,206,235,423,139,585,373,611,602,494,261,453
493,326,392,196,387,467,331,325,0,701,402,514,559,454,501,618,477,699,603,407
425,349,325,350,366,481,599,206,701,0,466,73,326,195,466,291,493,370,128,153
294,453,589,654,598,323,517,235,402,466,0,405,216,547,378,339,646,695,600,486
650,566,643,595,732,362,97,423,514,73,405,0,402,332,252,460,597,314,726,348
608,611,651,609,462,549,289,139,559,326,216,402,0,540,411,328,272,420,689,94
478,629,673,404,276,440,202,585,454,195,547,332,540,0,685,553,381,256,461,262
70,178,308,174,697,644,699,373,501,466,378,252,411,685,0,167,514,342,393,703
693,303,148,208,309,522,208,611,618,291,339,460,328,553,167,0,220,413,264,696
451,327,250,535,386,352,390,602,477,493,646,597,272,381,514,220,0,351,434,326
377,462,347,350,443,414,216,494,699,370,695,314,420,256,342,413,351,0,193,434
150,459,504,410,594,278,177,261,603,128,600,726,689,461,393,264,434,193,0,721
443,271,237,209,411,279,313,453,407,153,486,348,94,262,703,696,326,434,721,0
