Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,720,0,0
Ind_1_F,0,1,-1,320,0,0
Ind_2_M,1,0,-1,669,0,0
Ind_3_F,0,1,-1,673,1,0
Ind_4_F,0,1,-1,317,1,0
Ind_5_F,0,1,-1,435,0,0
Ind_6_M,1,0,-1,640,0,0
Ind_7_F,0,1,-1,642,1,0
Ind_8_M,1,0,-1,709,0,0
Ind_9_F,0,1,-1,704,1,0
Ind_10_M,1,0,-1,590,0,0
Ind_11_F,0,1,-1,333,1,0
Ind_12_F,0,1,-1,170,0,0
Ind_13_M,1,0,-1,667,0,0
Ind_14_F,0,1,-1,498,1,0
Ind_15_M,1,0,-1,362,0,0
Ind_16_M,1,0,-1,308,1,0
Ind_17_M,1,0,-1,239,1,0
Ind_18_M,1,0,-1,589,1,0
Ind_19_F,0,1,-1,526,1,0
Ind_20_M,1,0,-1,316,1,0
Ind_21_F,0,1,-1,781,1,0
Ind_22_F,0,1,-1,731,1,0
Ind_23_F,0,1,-1,160,1,0
Ind_24_F,0,1,-1,572,1,0
Ind_25_M,1,0,-1,567,1,0
Ind_26_M,1,0,-1,163,0,0
Ind_27_F,0,1,1,426,1,0
Ind_28_F,0,1,-1,770,0,0
Ind_29_M,1,0,-1,568,1,0
