Ind_0_M,Ind_1_F,Ind_2_M,Ind_3_F,Ind_4_F,Ind_5_F,Ind_6_M,Ind_7_F,Ind_8_M,Ind_9_F,Ind_10_M,Ind_11_F,Ind_12_F,Ind_13_M,Ind_14_F,Ind_15_M,Ind_16_M,Ind_17_M,Ind_18_M,Ind_19_F,Ind_20_M,Ind_21_F,Ind_22_F,Ind_23_F,Ind_24_F,Ind_25_M,Ind_26_M,Ind_27_F,Ind_28_F,Ind_29_M
0,325,465,175,481,101,258,267,378,593,449,456,206,343,234,528,530,470,632,493,409,378,214,323,739,333,414,401,620,700
325,0,566,532,211,697,525,175,146,642,564,316,581,208,228,202,433,363,467,303,312,529,409,580,397,542,444,534,459,314
465,566,0,329,455,379,592,420,465,737,382,253,98,658,420,399,212,515,213,398,652,300,420,423,251,455,394,158,455,320
175,532,329,0,374,440,181,636,537,356,483,532,432,449,516,467,429,359,638,522,576,555,370,231,365,233,445,275,578,546
481,211,455,374,0,457,662,464,423,395,180,243,469,385,477,246,674,480,98,432,547,509,393,344,584,325,549,233,563,205
101,697,379,440,457,0,381,139,518,397,595,418,422,394,264,294,615,219,295,297,470,500,276,385,248,315,714,468,292,207
258,525,592,181,662,381,0,376,500,597,486,626,274,515,534,527,470,512,233,505,470,465,347,344,382,383,269,491,509,401
267,175,420,636,464,139,376,0,246,539,370,574,128,228,197,599,219,299,771,584,226,376,455,302,362,377,308,642,466,383
378,146,465,537,423,518,500,246,0,438,739,642,586,562,227,444,234,513,485,383,411,392,518,722,181,481,290,224,291,479
593,642,737,356,395,397,597,539,438,0,491,284,447,523,222,297,501,545,400,488,356,565,466,600,249,609,348,539,530,464
449,564,382,483,180,595,486,370,739,491,0,340,441,432,144,286,327,582,281,460,235,376,608,295,474,367,613,536,380,560
456,316,253,532,243,418,626,574,642,284,340,0,367,190,351,494,471,483,619,189,204,381,201,517,482,190,440,401,509,364
206,581,98,432,469,422,274,128,586,447,441,367,0,401,608,202,301,260,418,479,486,489,169,423,540,187,474,400,395,489
343,208,658,449,385,394,515,228,562,523,432,190,401,0,214,468,370,524,675,527,439,176,430,512,283,401,511,451,463,726
234,228,420,516,477,264,534,197,227,222,144,351,608,214,0,566,369,497,602,332,105,407,600,502,529,615,318,166,297,345
528,202,399,467,246,294,527,599,444,297,286,494,202,468,566,0,729,782,317,289,429,226,165,295,435,441,550,578,737,474
530,433,212,429,674,615,470,219,234,501,327,471,301,370,369,729,0,445,607,512,194,648,349,309,562,273,443,393,267,550
470,363,515,359,480,219,512,299,513,545,582,483,260,524,497,782,445,0,366,196,365,366,604,275,536,316,287,618,459,195
632,467,213,638,98,295,233,771,485,400,281,619,418,675,602,317,607,366,0,346,683,638,294,558,475,483,300,232,82,213
493,303,398,522,432,297,505,584,383,488,460,189,479,527,332,289,512,196,346,0,408,286,734,526,468,203,531,644,330,701
409,312,652,576,547,470,470,226,411,356,235,204,486,439,105,429,194,365,683,408,0,199,638,411,464,235,398,192,454,448
378,529,300,555,509,500,465,376,392,565,376,381,489,176,407,226,648,366,638,286,199,0,645,219,430,358,683,599,564,448
214,409,420,370,393,276,347,455,518,466,608,201,169,430,600,165,349,604,294,734,638,645,0,294,453,368,463,427,598,213
323,580,423,231,344,385,344,302,722,600,295,517,423,512,502,295,309,275,558,526,411,219,294,0,430,315,297,584,600,608
739,397,251,365,584,248,382,362,181,249,474,482,540,283,529,435,562,536,475,468,464,430,453,430,0,344,658,227,461,445
333,542,455,233,325,315,383,377,481,609,367,190,187,401,615,441,273,316,483,203,235,358,368,315,344,0,310,648,567,793
414,444,394,445,549,714,269,308,290,348,613,440,474,511,318,550,443,287,300,531,398,683,463,297,658,310,0,737,566,764
401,534,158,275,233,468,491,642,224,539,536,401,400,451,166,578,393,618,232,644,192,599,427,584,227,648,737,0,226,456
620,459,455,578,563,292,509,466,291,530,380,509,395,463,297,737,267,459,82,330,454,564,598,600,461,567,566,226,0,407
700,314,320,546,205,207,401,383,479,464,560,364,489,726,345,474,550,195,213,701,448,448,213,608,445,793,764,456,407,0
