Ind_0_F,Ind_1_M,Ind_2_M,Ind_3_F,Ind_4_F,Ind_5_F,Ind_6_F,Ind_7_F,Ind_8_M,Ind_9_F,Ind_10_F,Ind_11_M,Ind_12_F,Ind_13_M,Ind_14_F,Ind_15_F,Ind_16_F,Ind_17_F,Ind_18_F,Ind_19_M,Ind_20_M,Ind_21_M,Ind_22_F,Ind_23_F,Ind_24_F,Ind_25_F,Ind_26_F,Ind_27_F,Ind_28_M,Ind_29_M,Ind_30_M,Ind_31_F,Ind_32_M,Ind_33_M,Ind_34_F,Ind_35_M,Ind_36_F,Ind_37_F,Ind_38_F,Ind_39_M
0,242,441,498,315,479,505,733,472,359,204,204,546,267,503,323,290,442,191,404,375,385,512,511,266,701,596,485,469,403,514,230,457,623,415,260,366,634,363,544
242,0,247,265,149,604,570,364,484,427,436,614,438,537,422,470,323,260,660,304,467,574,600,368,560,367,619,397,321,643,642,735,483,227,704,316,655,430,656,496
441,247,0,321,572,323,624,555,413,475,369,708,484,673,319,217,294,606,536,699,426,423,550,377,397,494,488,569,289,560,429,456,342,466,575,422,227,645,167,537
498,265,321,0,307,296,395,510,233,492,462,292,468,278,358,95,427,461,404,463,685,586,530,447,189,314,459,259,282,717,465,245,187,405,482,420,437,278,546,282
315,149,572,307,0,269,457,501,130,386,368,421,171,173,430,598,307,489,435,301,473,390,284,379,672,436,336,575,153,554,489,122,293,396,503,327,771,535,382,527
479,604,323,296,269,0,413,489,374,274,440,636,370,709,606,477,396,462,408,281,666,81,374,563,524,748,209,264,626,209,485,488,540,553,324,610,424,548,695,464
505,570,624,395,457,413,0,313,534,477,318,503,366,375,364,312,583,300,758,296,281,434,376,198,450,646,304,402,209,175,413,362,365,198,529,286,294,383,565,386
733,364,555,510,501,489,313,0,565,226,560,473,427,241,189,301,533,114,190,244,355,489,566,201,323,308,179,269,567,222,489,105,276,383,399,133,251,367,616,192
472,484,413,233,130,374,534,565,0,369,453,330,322,401,431,501,250,373,620,261,357,412,397,631,560,324,655,248,646,387,548,575,427,303,171,463,189,278,471,528
359,427,475,492,386,274,477,226,369,0,445,340,650,392,377,363,236,359,607,429,463,560,315,532,134,537,355,615,402,354,506,498,600,207,549,743,248,460,688,287
204,436,369,462,368,440,318,560,453,445,0,317,295,451,435,377,339,378,378,255,516,285,670,671,489,367,182,442,327,262,696,517,487,488,557,394,635,691,492,555
204,614,708,292,421,636,503,473,330,340,317,0,329,447,437,211,329,513,424,183,361,434,325,527,226,647,457,232,344,444,575,388,176,450,217,282,431,478,478,487
546,438,484,468,171,370,366,427,322,650,295,329,0,400,502,161,460,683,585,531,174,449,249,354,375,177,439,263,193,495,245,508,142,260,750,325,160,511,443,92
267,537,673,278,173,709,375,241,401,392,451,447,400,0,499,530,225,164,436,374,557,493,545,448,296,333,635,377,358,568,445,592,484,152,431,457,394,186,342,381
503,422,319,358,430,606,364,189,431,377,435,437,502,499,0,679,383,259,645,401,357,538,294,403,169,745,272,689,542,337,220,565,517,393,274,597,488,549,369,244
323,470,217,95,598,477,312,301,501,363,377,211,161,530,679,0,451,222,289,625,504,294,519,291,559,342,372,654,368,452,425,668,301,546,239,282,690,509,514,648
290,323,294,427,307,396,583,533,250,236,339,329,460,225,383,451,0,591,361,370,320,328,501,582,405,114,269,513,295,253,472,430,146,602,395,289,454,588,219,504
442,260,606,461,489,462,300,114,373,359,378,513,683,164,259,222,591,0,529,712,153,222,726,417,568,504,402,263,750,507,439,153,370,187,381,714,204,513,177,493
191,660,536,404,435,408,758,190,620,607,378,424,585,436,645,289,361,529,0,763,496,427,549,307,467,204,104,388,701,506,299,689,355,741,445,213,745,674,355,487
404,304,699,463,301,281,296,244,261,429,255,183,531,374,401,625,370,712,763,0,296,617,525,401,328,285,345,420,483,171,404,260,535,404,437,755,599,401,603,336
375,467,426,685,473,666,281,355,357,463,516,361,174,557,357,504,320,153,496,296,0,346,524,390,524,101,547,265,259,245,685,275,468,492,644,421,286,343,452,649
385,574,423,586,390,81,434,489,412,560,285,434,449,493,538,294,328,222,427,617,346,0,561,520,283,702,473,283,672,265,720,217,524,601,484,327,368,350,664,582
512,600,550,530,284,374,376,566,397,315,670,325,249,545,294,519,501,726,549,525,524,561,0,625,493,430,575,217,396,446,303,401,410,615,196,378,686,603,198,411
511,368,377,447,379,563,198,201,631,532,671,527,354,448,403,291,582,417,307,401,390,520,625,0,595,212,640,437,267,681,176,169,278,539,153,233,431,462,240,298
266,560,397,189,672,524,450,323,560,134,489,226,375,296,169,559,405,568,467,328,524,283,493,595,0,313,418,659,318,292,287,475,434,532,280,453,449,371,464,661
701,367,494,314,436,748,646,308,324,537,367,647,177,333,745,342,114,504,204,285,101,702,430,212,313,0,538,397,268,234,343,312,133,645,404,444,219,442,507,607
596,619,488,459,336,209,304,179,655,355,182,457,439,635,272,372,269,402,104,345,547,473,575,640,418,538,0,641,238,567,351,217,594,324,175,181,393,492,197,614
485,397,569,259,575,264,402,269,248,615,442,232,263,377,689,654,513,263,388,420,265,283,217,437,659,397,641,0,521,338,284,489,409,517,584,493,389,275,424,178
469,321,289,282,153,626,209,567,646,402,327,344,193,358,542,368,295,750,701,483,259,672,396,267,318,268,238,521,0,283,606,346,492,491,320,621,403,381,429,632
403,643,560,717,554,209,175,222,387,354,262,444,495,568,337,452,253,507,506,171,245,265,446,681,292,234,567,338,283,0,416,545,462,569,708,544,443,196,332,628
514,642,429,465,489,485,413,489,548,506,696,575,245,445,220,425,472,439,299,404,685,720,303,176,287,343,351,284,606,416,0,432,675,501,569,82,646,422,352,103
230,735,456,245,122,488,362,105,575,498,517,388,508,592,565,668,430,153,689,260,275,217,401,169,475,312,217,489,346,545,432,0,186,376,678,179,222,405,172,645
457,483,342,187,293,540,365,276,427,600,487,176,142,484,517,301,146,370,355,535,468,524,410,278,434,133,594,409,492,462,675,186,0,545,338,496,237,241,97,379
623,227,466,405,396,553,198,383,303,207,488,450,260,152,393,546,602,187,741,404,492,601,615,539,532,645,324,517,491,569,501,376,545,0,203,651,407,195,411,462
415,704,575,482,503,324,529,399,171,549,557,217,750,431,274,239,395,381,445,437,644,484,196,153,280,404,175,584,320,708,569,678,338,203,0,471,539,356,164,526
260,316,422,420,327,610,286,133,463,743,394,282,325,457,597,282,289,714,213,755,421,327,378,233,453,444,181,493,621,544,82,179,496,651,471,0,353,444,473,413
366,655,227,437,771,424,294,251,189,248,635,431,160,394,488,690,454,204,745,599,286,368,686,431,449,219,393,389,403,443,646,222,237,407,539,353,0,291,644,439
634,430,645,278,535,548,383,367,278,460,691,478,511,186,549,509,588,513,674,401,343,350,603,462,371,442,492,275,381,196,422,405,241,195,356,444,291,0,407,281
363,656,167,546,382,695,565,616,471,688,492,478,443,342,369,514,219,177,355,603,452,664,198,240,464,507,197,424,429,332,352,172,97,411,164,473,644,407,0,295
544,496,537,282,527,464,386,192,528,287,555,487,92,381,244,648,504,493,487,336,649,582,411,298,661,607,614,178,632,628,103,645,379,462,526,413,439,281,295,0
