Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,0,566,0,0
Ind_1_M,1,0,-1,578,0,0
Ind_2_F,0,1,-1,243,0,1
Ind_3_M,1,0,-1,457,1,0
Ind_4_M,1,0,-1,525,1,1
Ind_5_M,1,0,-1,230,1,0
Ind_6_F,0,1,-1,606,1,0
Ind_7_F,0,1,-1,232,0,0
Ind_8_M,1,0,-1,485,0,0
Ind_9_F,0,1,-1,325,0,0
Ind_10_F,0,1,-1,330,1,0
Ind_11_F,0,1,-1,308,1,0
Ind_12_M,1,0,-1,215,0,0
Ind_13_M,1,0,1,687,1,0
Ind_14_F,0,1,-1,491,1,0
Ind_15_M,1,0,-1,531,0,0
Ind_16_F,0,1,-1,313,0,0
Ind_17_F,0,1,-1,445,1,0
Ind_18_M,1,0,-1,294,1,0
Ind_19_M,1,0,-1,658,1,0
