Name,Male,Female,AssignToFirstCorral,Species,Alleles
"FloHyb_26055848 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_26056533 (Sex=M, Species=F)",1,0,-1,R,1000
"FloHyb_48036067 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_48349076 (Sex=F, Species=R)",0,1,-1,R,5000
"FloHyb_51777322 (Sex=M, Species=F)",1,0,-1,R,5002
"FloHyb_52312895 (Sex=F, Species=R)",0,1,-1,R,5005
"FloHyb_52376100 (Sex=F, Species=F)",0,1,-1,R,5009
"FloHyb_52604553 (Sex=F, Species=R)",0,1,-1,R,5002
"FloHyb_52793336 (Sex=F, Species=F)",0,1,-1,R,1000
"FloHyb_52796799 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_54957272 (Sex=M, Species=R)",1,0,-1,R,1000
"FloHyb_54957555 (Sex=F, Species=F)",0,1,-1,R,1000
"FloHyb_72611626 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_B39 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_BR106 (Sex=F, Species=F)",0,1,-1,R,1006
"FloHyb_BR542 (Sex=F, Species=R)",0,1,-1,R,1004
"FloHyb_BR610 (Sex=M, Species=R)",1,0,-1,R,1002
"FloHyb_BR877 (Sex=M, Species=F)",1,0,-1,R,1000
"FloHyb_G8 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_H119 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_H149 (Sex=M, Species=R)",1,0,-1,R,1000
"FloHyb_H158 (Sex=M, Species=F)",1,0,-1,R,1000
"FloHyb_H17 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_H192 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_H2 (Sex=M, Species=R)",1,0,-1,R,1000
"FloHyb_H210 (Sex=M, Species=F)",1,0,-1,R,1000
"FloHyb_H27 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_H29 (Sex=F, Species=R)",0,1,-1,R,1000
"FloHyb_H5 (Sex=F, Species=F)",0,1,0,R,1000
"FloHyb_I64 (Sex=M, Species=F)",1,0,-1,R,1000
"FloHyb_I8 (Sex=F, Species=R)",0,1,-1,R,2000
"FloHyb_I94 (Sex=M, Species=R)",1,0,-1,R,2000
"FloHyb_I96 (Sex=M, Species=R)",1,0,-1,R,2000
"FloHyb_Z1 (Sex=M, Species=R)",1,0,-1,R,2000
"FloHyb_Z11 (Sex=F, Species=R)",0,1,-1,R,2000
"FloHyb_Z12 (Sex=F, Species=R)",0,1,-1,R,2000
"FloHyb_Z13 (Sex=M, Species=R)",1,0,-1,R,2000
"FloHyb_Z14 (Sex=F, Species=R)",0,1,-1,R,2000
"FloHyb_Z15 (Sex=F, Species=R)",0,1,-1,R,2000
"FloHyb_Z18 (Sex=M, Species=F)",1,0,-1,R,2000
"FloHyb_Z19 (Sex=F, Species=F)",0,1,-1,R,2000
"FloHyb_Z2 (Sex=M, Species=R)",1,0,-1,R,2000
"FloHyb_Z20 (Sex=F, Species=F)",0,1,-1,R,2000
"FloHyb_Z21 (Sex=F, Species=R)",0,1,-1,R,2000
"FloHyb_Z3 (Sex=M, Species=R)",1,0,1,R,3000
"FloHyb_Z4 (Sex=M, Species=R)",1,0,-1,R,3000
"FloHyb_Z5 (Sex=F, Species=R)",0,1,-1,R,3000
"FloHyb_Z6 (Sex=M, Species=R)",1,0,-1,R,3000
"FloHyb_Z7 (Sex=F, Species=R)",0,1,-1,R,3000
"FloHyb_Z8 (Sex=F, Species=R)",0,1,-1,R,3000
"FloHyb_Z9 (Sex=F, Species=R)",0,1,-1,R,3000
