FloHyb_26055848,FloHyb_26056533,FloHyb_48036067,FloHyb_48349076,FloHyb_51777322,FloHyb_52312895,FloHyb_52376100,FloHyb_52604553,FloHyb_52793336,FloHyb_52796799,FloHyb_54957272,FloHyb_54957555,FloHyb_72611626,FloHyb_B39,FloHyb_BR106,FloHyb_BR542,FloHyb_BR610,FloHyb_BR877,FloHyb_G8,FloHyb_H119,FloHyb_H149,FloHyb_H158,FloHyb_H17,FloHyb_H192,FloHyb_H2,FloHyb_H210,FloHyb_H27,FloHyb_H29,FloHyb_H5,FloHyb_I64,FloHyb_I8,FloHyb_I94,FloHyb_I96,FloHyb_Z1,FloHyb_Z11,FloHyb_Z12,FloHyb_Z13,FloHyb_Z14,FloHyb_Z15,FloHyb_Z18,FloHyb_Z19,FloHyb_Z2,FloHyb_Z20,FloHyb_Z21,FloHyb_Z3,FloHyb_Z4,FloHyb_Z5,FloHyb_Z6,FloHyb_Z7,FloHyb_Z8,FloHyb_Z9
0,184025,148401,221653,240371,107346,124252,82847,510017,14,175560,155467,168312,70814,123177,14,170910,106883,448155,176751,83567,210122,112611,170951,177660,110421,116860,58700,80759,51735,36,56242,219652,74124,180029,64695,61264,112650,93905,99901,221660,51354,164929,22320,429952,0,495324,106503,273753,65225,30
184025,0,2209,421894,152427,466377,461703,111496,231582,289632,190417,166435,42078,139535,58843,4,358576,97004,43157,371758,182696,449829,76133,172118,82799,15533,246434,171267,199674,332205,250936,184744,125627,182851,85190,246768,43997,145858,94388,103200,264986,265003,41540,321444,258293,135891,73942,67424,298113,129647,264379
148401,2209,0,83605,33782,246492,11,15,233819,199833,158903,211782,155337,142497,247852,464433,443399,48893,48726,74677,107998,97459,268567,109783,8121,27050,167479,187447,272107,325345,210410,96489,146315,48292,201411,214868,124312,96447,135886,159294,13,259183,178299,351833,222681,246,144450,173722,271450,106773,83364
221653,421894,83605,0,167577,102541,0,191175,118664,222427,94060,36057,153981,29955,202145,433841,67024,83885,50704,129274,38054,178138,210686,151978,25009,4756,194150,206779,392943,29,205402,30906,122315,126404,99865,26235,83469,28726,95518,234936,4,220971,249796,328980,295665,119,169978,69780,53579,70274,370914
240371,152427,33782,167577,0,150875,661474,193954,375728,229931,189386,156657,145230,148755,78682,427105,198574,203877,49887,175076,50162,41552,35223,194317,79506,194755,82848,217694,294658,279497,52533,32834,45704,49423,32598,167018,85953,26643,43238,138757,282826,237462,166036,195881,1,186436,3,176777,331696,41946,165261
107346,466377,246492,102541,150875,0,438886,181794,452646,118812,175328,261110,172784,131785,135753,97350,234980,23140,69093,219990,110287,2,119168,74747,111663,183807,299860,132290,202171,94112,43,111709,53020,164382,187949,87838,179852,176851,27029,202562,233683,222949,34128,147327,3,7,292930,194938,443367,38386,142047
124252,461703,11,0,661474,438886,0,50434,70773,139509,88722,20491,133057,180113,1,132363,15,64082,62939,227888,81023,11,90463,72799,110263,131852,147533,181981,2063,424714,665131,117175,127922,66325,109669,222118,54819,109350,90178,25,262058,127716,3,127436,8,48640,237113,167534,2,75024,100575
82847,111496,15,191175,193954,181794,50434,0,158953,230023,124941,11344,253844,154009,141564,12,328245,192464,30160,85008,126339,455383,138740,182654,24730,116752,63198,145841,210160,98757,219740,105895,113784,62342,134798,154842,105797,237330,143788,166053,198750,142535,289185,97182,40081,7,279712,537621,380130,21,219675
510017,231582,233819,118664,375728,452646,70773,158953,0,175740,129848,255529,161978,121094,473191,313321,175568,88446,26616,233794,557246,24,257662,128532,191401,164419,36879,208165,278890,42568,229643,233699,183949,135758,224153,75558,72956,31300,171428,489559,206407,273402,297259,232953,52838,496242,80397,159245,50586,131435,285833
14,289632,199833,222427,229931,118812,139509,230023,175740,0,83832,195316,215127,228042,322790,319271,325466,51310,216574,106517,230703,142866,172012,158592,109316,160089,198773,226057,21,237775,134438,211744,98224,102604,279757,91352,14154,85153,132906,6,2,233783,25,281815,283172,483395,122060,109407,342392,94439,45948
