FloHyb_26055848,F,R,FloHyb_26056533,M,F,0.184025
FloHyb_26055848,F,R,FloHyb_48036067,F,R,0.148401
FloHyb_26055848,F,R,FloHyb_48349076,F,R,0.221653
FloHyb_26055848,F,R,FloHyb_51777322,M,F,0.240371
FloHyb_26055848,F,R,FloHyb_52312895,F,R,0.107346


Name,Male,Female,AssignToFirstCorral,Species,Alleles
FloHyb_26055848 (F) (Spec:F),0,1,-1,F,1000
FloHyb_26056533 (M) (Spec:F),1,0,-1,F,1000
FloHyb_48036067 (F) (Spec:F),0,1,-1,F,1000
FloHyb_48349076 (F) (Spec:F),0,1,-1,F,1000
FloHyb_51777322 (M) (Spec:R),1,0,-1,R,1000
FloHyb_52312895 (F) (Spec:R),0,1,-1,R,1000
FloHyb_52376100 (F) (Spec:R),0,1,-1,R,1000
FloHyb_52604553 (F) (Spec:R),0,1,-1,R,1000
FloHyb_52793336 (F) (Spec:R),0,1,-1,R,1000
FloHyb_52796799 (F) (Spec:R),0,1,-1,R,1000
