FloHyb_26055848,FloHyb_26056533,FloHyb_48036067,FloHyb_48349076,FloHyb_51777322,FloHyb_52312895,FloHyb_52376100,FloHyb_52604553,FloHyb_52793336,FloHyb_52796799
0,0.229931,0.118812,0.139509,0.230023,0.17574,0.153947,0.17556,0.190417,0.158903
0.229931,0,0.154009,0.121094,0.228042,0.0524,0.165564,0.331172,0.387063,0.123177
0.118812,0.154009,0,0.066666,0.120022,0.032754,0.077809,0.071693,0.238728,0.02309
0.139509,0.121094,0.066666,0,0.129274,0.175076,0.21999,0.227888,0.085008,0.233794
0.230023,0.228042,0.120022,0.129274,0,0.257663,0.172012,0.056061,0.145636,0.169301
0.17574,0.0524,0.032754,0.175076,0.257663,0,0.191401,0.109316,0.01756,0.177655
0.153947,0.165564,0.077809,0.21999,0.172012,0.191401,0,0.246434,0.167479,0.19415
0.17556,0.331172,0.071693,0.227888,0.056061,0.109316,0.246434,0,0.221738,0.208847
0.190417,0.387063,0.238728,0.085008,0.145636,0.01756,0.167479,0.221738,0,0.098757
0.158903,0.123177,0.02309,0.233794,0.169301,0.177655,0.19415,0.208847,0.098757,0
