FloHyb_26055848,FloHyb_26056533,FloHyb_48036067,FloHyb_48349076,FloHyb_51777322,FloHyb_52312895,FloHyb_52376100,FloHyb_52604553,FloHyb_52793336,FloHyb_52796799,FloHyb_54957272,FloHyb_54957555,FloHyb_72611626,FloHyb_B39,FloHyb_BR106,FloHyb_BR610,FloHyb_BR877,FloHyb_G8,FloHyb_H119,FloHyb_H149
0,0.229931,0.118812,0.139509,0.230023,0.17574,0.153947,0.17556,0.190417,0.158903,0.09406,0.189386,0.175328,0.088722,0.124941,0.083832,0.243453,0.155467,0.166435,0.211782
0.229931,0,0.154009,0.121094,0.228042,0.0524,0.165564,0.331172,0.387063,0.123177,0.058843,0.247852,0.202145,0.078682,0.135753,0.141564,0.473191,0.32279,0.178988,0.175159
0.118812,0.154009,0,0.066666,0.120022,0.032754,0.077809,0.071693,0.238728,0.02309,0.106883,0.097004,0.048893,0.083885,0.203877,0.064082,0.192464,0.088446,0.05131,0.18323
0.139509,0.121094,0.066666,0,0.129274,0.175076,0.21999,0.227888,0.085008,0.233794,0.106517,0.151786,0.237259,0.044781,0.035595,0.139291,0.089164,0.220443,0.298399,0.234091
0.230023,0.228042,0.120022,0.129274,0,0.257663,0.172012,0.056061,0.145636,0.169301,0.157342,0.19299,0.174933,0.062777,0.088466,0.072052,0.160318,0.0464,0.170951,0.172118
0.17574,0.0524,0.032754,0.175076,0.257663,0,0.191401,0.109316,0.01756,0.177655,0.144558,0.128073,0.172991,0.103809,0.021599,0.087775,0.028904,0.117917,0.195006,0.183144
0.153947,0.165564,0.077809,0.21999,0.172012,0.191401,0,0.246434,0.167479,0.19415,0.082848,0.29986,0.147533,0.063198,0.036879,0.152169,0.17295,0.174587,0.165047,0.194192
0.17556,0.331172,0.071693,0.227888,0.056061,0.109316,0.246434,0,0.221738,0.208847,0.056343,0.221028,0.215289,0.060138,0.04025,0.199674,0.272107,0.392943,0.294658,0.202171
0.190417,0.387063,0.238728,0.085008,0.145636,0.01756,0.167479,0.221738,0,0.098757,0.042568,0.237775,0.140232,0.073319,0.137008,0.074969,0.474931,0.217135,0.123237,0.172229
0.158903,0.123177,0.02309,0.233794,0.169301,0.177655,0.19415,0.208847,0.098757,0,0.112944,0.170589,0.17935,0.077061,0.012752,0.137898,0.130072,0.271627,0.226985,0.166067
0.09406,0.058843,0.106883,0.106517,0.157342,0.144558,0.082848,0.056343,0.042568,0.112944,0,0.074147,0.110259,0.219652,0.125628,0.122315,0.045704,0.05302,0.127922,0.113784
0.189386,0.247852,0.097004,0.151786,0.19299,0.128073,0.29986,0.221028,0.237775,0.170589,0.074147,0,0.164382,0.066325,0.062342,0.102604,0.290463,0.19199,0.136655,0.147207
0.175328,0.202145,0.048893,0.237259,0.174933,0.172991,0.147533,0.215289,0.140232,0.17935,0.110259,0.164382,0,0.099865,0.032598,0.109669,0.134798,0.224153,0.279757,0.219675
0.088722,0.078682,0.083885,0.044781,0.062777,0.103809,0.063198,0.060138,0.073319,0.077061,0.219652,0.066325,0.099865,0,0.154842,0.091352,0.080939,0.0907,0.074923,0.052154
0.124941,0.135753,0.203877,0.035595,0.088466,0.021599,0.036879,0.04025,0.137008,0.012752,0.125628,0.062342,0.032598,0.154842,0,0.066316,0.154713,0.054275,0.028793,0.105378
0.083832,0.141564,0.064082,0.139291,0.072052,0.087775,0.152169,0.199674,0.074969,0.137898,0.122315,0.102604,0.109669,0.091352,0.066316,0,0.143788,0.171428,0.132906,0.146723
0.243453,0.473191,0.192464,0.089164,0.160318,0.028904,0.17295,0.272107,0.474931,0.130072,0.045704,0.290463,0.134798,0.080939,0.154713,0.143788,0,0.234936,0.138757,0.202562
0.155467,0.32279,0.088446,0.220443,0.0464,0.117917,0.174587,0.392943,0.217135,0.271627,0.05302,0.19199,0.224153,0.0907,0.054275,0.171428,0.234936,0,0.257631,0.190249
0.166435,0.178988,0.05131,0.298399,0.170951,0.195006,0.165047,0.294658,0.123237,0.226985,0.127922,0.136655,0.279757,0.074923,0.028793,0.132906,0.138757,0.257631,0,0.200368
0.211782,0.175159,0.18323,0.234091,0.172118,0.183144,0.194192,0.202171,0.172229,0.166067,0.113784,0.147207,0.219675,0.052154,0.105378,0.146723,0.202562,0.190249,0.200368,0
