FloHyb_26055848,FloHyb_26056533,FloHyb_48036067,FloHyb_48349076,FloHyb_51777322,FloHyb_52312895,FloHyb_52376100,FloHyb_52604553,FloHyb_52793336,FloHyb_52796799,FloHyb_54957272,FloHyb_54957555,FloHyb_72611626,FloHyb_B39,FloHyb_BR106,FloHyb_BR610,FloHyb_BR877,FloHyb_G8,FloHyb_H119,FloHyb_H149
0,18,9,10,18,13,12,13,14,12,7,14,13,6,9,6,19,12,13,16
18,0,12,9,17,4,12,25,30,9,4,19,15,6,10,11,37,25,14,13
9,12,0,5,9,2,6,5,18,1,8,7,3,6,15,5,15,6,4,14
10,9,5,0,10,13,17,17,6,18,8,11,18,3,2,10,6,17,23,18
18,17,9,10,0,20,13,4,11,13,12,15,13,4,6,5,12,3,13,13
13,4,2,13,20,0,15,8,1,13,11,10,13,8,1,6,2,9,15,14
12,12,6,17,13,15,0,19,13,15,6,23,11,4,2,11,13,13,12,15
13,25,5,17,4,8,19,0,17,16,4,17,16,4,3,15,21,30,23,15
14,30,18,6,11,1,13,17,0,7,3,18,10,5,10,5,37,17,9,13
12,9,1,18,13,13,15,16,7,0,8,13,14,6,1,10,10,21,17,13
7,4,8,8,12,11,6,4,3,8,0,5,8,17,9,9,3,4,10,8
14,19,7,11,15,10,23,17,18,13,5,0,12,5,4,8,22,15,10,11
13,15,3,18,13,13,11,16,10,14,8,12,0,7,2,8,10,17,21,17
6,6,6,3,4,8,4,4,5,6,17,5,7,0,12,7,6,7,5,4
9,10,15,2,6,1,2,3,10,1,9,4,2,12,0,5,12,4,2,8
6,11,5,10,5,6,11,15,5,10,9,8,8,7,5,0,11,13,10,11
19,37,15,6,12,2,13,21,37,10,3,22,10,6,12,11,0,18,10,15
12,25,6,17,3,9,13,30,17,21,4,15,17,7,4,13,18,0,20,14
13,14,4,23,13,15,12,23,9,17,10,10,21,5,2,10,10,20,0,15
16,13,14,18,13,14,15,15,13,13,8,11,17,4,8,11,15,14,15,0
