Name,Male,Female,AssignToFirstCorral
FloHyb_26055848 (F),0,1,-1
FloHyb_26056533 (M),1,0,-1
FloHyb_48036067 (F),0,1,-1
FloHyb_48349076 (F),0,1,-1
FloHyb_51777322 (M),1,0,-1
FloHyb_52312895 (F),0,1,-1
FloHyb_52376100 (F),0,1,-1
FloHyb_52604553 (F),0,1,-1
FloHyb_52793336 (F),0,1,-1
FloHyb_52796799 (F),0,1,-1
FloHyb_54957272 (M),1,0,-1
FloHyb_54957555 (F),0,1,-1
FloHyb_72611626 (F),0,1,-1
FloHyb_B39 (F),0,1,-1
FloHyb_BR106 (F),0,1,-1
FloHyb_BR610 (M),1,0,-1
FloHyb_BR877 (M),1,0,-1
FloHyb_G8 (F),0,1,-1
FloHyb_H119 (F),0,1,-1
FloHyb_H149 (M),1,0,-1
FloHyb_H17 (F),0,1,-1
FloHyb_H192 (F),0,1,-1
FloHyb_H210 (M),1,0,-1
FloHyb_H27 (F),0,1,-1
FloHyb_H29 (F),0,1,1
FloHyb_H2 (M),1,0,-1
FloHyb_H5 (F),0,1,-1
FloHyb_I64 (M),1,0,-1
FloHyb_I8 (F),0,1,-1
FloHyb_I94 (M),1,0,-1
