FloHyb_26055848,FloHyb_26056533,FloHyb_48036067,FloHyb_48349076,FloHyb_51777322,FloHyb_52312895,FloHyb_52376100,FloHyb_52604553,FloHyb_52793336,FloHyb_52796799,FloHyb_54957272,FloHyb_54957555,FloHyb_72611626,FloHyb_B39,FloHyb_BR106,FloHyb_BR610,FloHyb_BR877,FloHyb_G8,FloHyb_H119,FloHyb_H149,FloHyb_H17,FloHyb_H192,FloHyb_H210,FloHyb_H27,FloHyb_H29,FloHyb_H2,FloHyb_H5,FloHyb_I64,FloHyb_I8,FloHyb_I94
0,229931,118812,139509,230023,175740,153947,175560,190417,158903,94060,189386,175328,88722,124941,83832,243453,155467,166435,211782,36057,156657,261110,20491,11344,255529,195316,228672,136077,168312
229931,0,154009,121094,228042,52400,165564,331172,387063,123177,58843,247852,202145,78682,135753,141564,473191,322790,178988,175159,8,208645,500842,14,4,464433,433841,427105,97350,132363
118812,154009,0,66666,120022,32754,77809,71693,238728,23090,106883,97004,48893,83885,203877,64082,192464,88446,51310,183230,85448,71230,253394,50634,50151,208219,219105,448155,43157,48726
139509,121094,66666,0,129274,175076,219990,227888,85008,233794,106517,151786,237259,44781,35595,139291,89164,220443,298399,234091,83567,182696,107998,38054,50162,110287,81023,126339,557246,230703
230023,228042,120022,129274,0,257662,172012,56061,145636,169301,157342,192990,174933,62777,88466,72052,160318,46400,170951,172118,109783,151978,194317,74747,72799,182654,128532,158592,164676,211275
175740,52400,32754,175076,257662,0,191401,109316,17560,177655,144558,128072,172991,103809,21599,87775,28904,117917,195006,183144,110577,220100,15753,104528,110421,15533,27050,4756,194755,183807
153947,165564,77809,219990,172012,191401,0,246434,167479,194150,82848,299860,147533,63198,36879,152169,172950,174587,165047,194192,51870,198896,182476,26211,29505,155343,174294,180112,191316,211725
175560,331172,71693,227888,56061,109316,246434,0,221738,208847,56343,221028,215289,60138,40250,199674,272107,392943,294658,202171,2063,210160,278890,21,1,267701,237569,258473,203459,195910
190417,387063,238728,85008,145636,17560,167479,221738,0,98757,42568,237775,140232,73319,137008,74969,474931,217135,123237,172229,935,138473,474454,450,41,470932,469017,471285,55758,131639
158903,123177,23090,233794,169301,177655,194150,208847,98757,0,112944,170589,179350,77061,12752,137898,130072,271627,226985,166067,56242,184744,96489,30906,32834,111709,117175,105895,233699,211744
94060,58843,106883,106517,157342,144558,82848,56343,42568,112944,0,74147,110259,219652,125627,122315,45704,53020,127922,113784,183949,98224,44126,125305,142155,45040,36816,27128,87145,109580
189386,247852,97004,151786,192990,128072,299860,221028,237775,170589,74147,0,164382,66325,62342,102604,290463,191990,136655,147207,54695,168112,220675,47434,16228,248211,229013,225443,129580,212069
175328,202145,48893,237259,174933,172991,147533,215289,140232,179350,110259,164382,0,99865,32598,109669,134798,224153,279757,219675,44241,205882,156265,36182,20796,157608,163239,145524,229804,208089
88722,78682,83885,44781,62777,103809,63198,60138,73319,77061,219652,66325,99865,0,154842,91352,80939,90700,74923,52154,125410,67332,60536,78342,96619,41226,68097,15088,71820,90981
124941,135753,203877,35595,88466,21599,36879,40250,137008,12752,125627,62342,32598,154842,0,66316,154713,54275,28793,105378,78857,18324,178494,35651,30054,194929,179532,158867,15106,41852
83832,141564,64082,139291,72052,87775,152169,199674,74969,137898,122315,102604,109669,91352,66316,0,143788,171428,132906,146723,147470,143434,132784,132044,173087,115091,108431,140586,126471,110248
243453,473191,192464,89164,160318,28904,172950,272107,474931,130072,45704,290463,134798,80939,154713,143788,0,234936,138757,202562,25,166053,489559,6,1,492263,475622,509565,93168,129861
155467,322790,88446,220443,46400,117917,174587,392943,217135,271627,53020,191990,224153,90700,54275,171428,234936,0,257631,190249,1,221660,264986,13,4,282826,233683,262058,198750,206407
166435,178988,51310,298399,170951,195006,165047,294658,123237,226985,127922,136655,279757,74923,28793,132906,138757,257631,0,200368,72720,188702,162100,51790,24578,134764,110881,136727,293698,216426
211782,175159,183230,234091,172118,183144,194192,202171,172229,166067,113784,147207,219675,52154,105378,146723,202562,190249,200368,0,93837,166168,208312,62861,67106,169487,204305,368460,197961,193122
36057,8,85448,83567,109783,110577,51870,2063,935,56242,183949,54695,44241,125410,78857,147470,25,1,72720,93837,0,34128,3,289185,297259,25,0,19,89361,66106
156657,208645,71230,182696,151978,220100,198896,210160,138473,184744,98224,168112,205882,67332,18324,143434,166053,221660,188702,166168,34128,0,149489,26197,36745,110849,139412,148942,189139,178978
261110,500842,253394,107998,194317,15753,182476,278890,474454,96489,44126,220675,156265,60536,178494,132784,489559,264986,162100,208312,3,149489,0,24,1,529996,464593,575132,73537,123330
20491,14,50634,38054,74747,104528,26211,21,450,30906,125305,47434,36182,78342,35651,132044,6,13,51790,62861,289185,26197,24,0,295665,1,3,8,40081,52838
11344,4,50151,50162,72799,110421,29505,1,41,32834,142155,16228,20796,96619,30054,173087,1,4,24578,67106,297259,36745,1,295665,0,1,6,2,57442,42600
255529,464433,208219,110287,182654,15533,155343,267701,470932,111709,45040,248211,157608,41226,194929,115091,492263,282826,134764,169487,25,110849,529996,1,1,0,496242,483395,79653,139377
195316,433841,219105,81023,128532,27050,174294,237569,469017,117175,36816,229013,163239,68097,179532,108431,475622,233683,110881,204305,0,139412,464593,3,6,496242,0,510298,86792,126984
228672,427105,448155,126339,158592,4756,180112,258473,471285,105895,27128,225443,145524,15088,158867,140586,509565,262058,136727,368460,19,148942,575132,8,2,483395,510298,0,80397,122060
136077,97350,43157,557246,164676,194755,191316,203459,55758,233699,87145,129580,229804,71820,15106,126471,93168,198750,293698,197961,89361,189139,73537,40081,57442,79653,86792,80397,0,243238
168312,132363,48726,230703,211275,183807,211725,195910,131639,211744,109580,212069,208089,90981,41852,110248,129861,206407,216426,193122,66106,178978,123330,52838,42600,139377,126984,122060,243238,0
