FloHyb_26055848,FloHyb_26056533,FloHyb_48036067,FloHyb_48349076,FloHyb_51777322,FloHyb_52312895,FloHyb_52376100,FloHyb_52604553,FloHyb_52793336,FloHyb_52796799,FloHyb_54957272,FloHyb_54957555,FloHyb_72611626,FloHyb_B39,FloHyb_BR106,FloHyb_BR610,FloHyb_BR877,FloHyb_G8,FloHyb_H119,FloHyb_H149,FloHyb_H17,FloHyb_H192,FloHyb_H210,FloHyb_H27,FloHyb_H29,FloHyb_H2,FloHyb_H5,FloHyb_I64,FloHyb_I8,FloHyb_I94,FloHyb_I96,FloHyb_Z11,FloHyb_Z12,FloHyb_Z13,FloHyb_Z14,FloHyb_Z15,FloHyb_Z18,FloHyb_Z19,FloHyb_Z1,FloHyb_Z20,FloHyb_Z21,FloHyb_Z2,FloHyb_Z3,FloHyb_Z4,FloHyb_Z5,FloHyb_Z6,FloHyb_Z7,FloHyb_Z8
0,229931,118812,139509,230023,175740,153947,175560,190417,158903,94060,189386,175328,88722,124941,83832,243453,155467,166435,211782,36057,156657,261110,20491,11344,255529,195316,228672,136077,168312,42078,155337,153981,145230,172784,133057,253844,161978,215127,201192,183170,227173,70814,139535,142497,29955,148755,131785
229931,0,154009,121094,228042,52400,165564,331172,387063,123177,58843,247852,202145,78682,135753,141564,473191,322790,178988,175159,8,208645,500842,14,4,464433,433841,427105,97350,132363,12,313321,319271,280099,49556,7,444519,200564,300219,170910,358576,443399,67024,198574,234980,15,328245,175568
118812,154009,0,66666,120022,32754,77809,71693,238728,23090,106883,97004,48893,83885,203877,64082,192464,88446,51310,183230,85448,71230,253394,50634,50151,208219,219105,448155,43157,48726,50704,49887,69093,62939,30160,26616,216574,201393,68662,62850,123040,268101,111987,52623,79437,112110,176751,371758
139509,121094,66666,0,129274,175076,219990,227888,85008,233794,106517,151786,237259,44781,35595,139291,89164,220443,298399,234091,83567,182696,107998,38054,50162,110287,81023,126339,557246,230703,52434,189294,190453,182434,248324,203481,91817,143610,199240,181640,147594,112611,76133,268567,210686,35223,119168,90463
230023,228042,120022,129274,0,257662,172012,56061,145636,169301,157342,192990,174933,62777,88466,72052,160318,46400,170951,172118,109783,151978,194317,74747,72799,182654,128532,158592,164676,211275,117805,27913,44332,21454,318526,237913,169753,113546,47587,154531,73078,177660,82799,8121,25009,79506,111663,110263
175740,52400,32754,175076,257662,0,191401,109316,17560,177655,144558,128072,172991,103809,21599,87775,28904,117917,195006,183144,110577,220100,15753,104528,110421,15533,27050,4756,194755,183807,131852,116752,164419,160089,255347,306290,11804,122156,115060,237536,69323,2669,90445,129675,173748,81667,80637,29475
153947,165564,77809,219990,172012,191401,0,246434,167479,194150,82848,299860,147533,63198,36879,152169,172950,174587,165047,194192,51870,198896,182476,26211,29505,155343,174294,180112,191316,211725,58700,171267,187447,206779,217694,132290,181981,145841,208165,226057,165611,157920,74480,174746,154356,36172,187231,137361
175560,331172,71693,227888,56061,109316,246434,0,221738,208847,56343,221028,215289,60138,40250,199674,272107,392943,294658,202171,2063,210160,278890,21,1,267701,237569,258473,203459,195910,83,414025,365639,384876,115168,62107,239897,167485,411105,256270,326727,242747,51735,332205,325345,29,279497,94112
190417,387063,238728,85008,145636,17560,167479,221738,0,98757,42568,237775,140232,73319,137008,74969,474931,217135,123237,172229,935,138473,474454,450,41,470932,469017,471285,55758,131639,36,250936,210410,205402,52533,43,665131,219740,229643,134438,389737,514194,80836,131309,159351,2653,339833,220422
158903,123177,23090,233794,169301,177655,194150,208847,98757,0,112944,170589,179350,77061,12752,137898,130072,271627,226985,166067,56242,184744,96489,30906,32834,111709,117175,105895,233699,211744,79749,229023,252367,215050,199472,250000,113370,102324,276264,231861,176961,131605,72414,215767,229140,45018,155619,38892
94060,58843,106883,106517,157342,144558,82848,56343,42568,112944,0,74147,110259,219652,125627,122315,45704,53020,127922,113784,183949,98224,44126,125305,142155,45040,36816,27128,87145,109580,153241,46944,78563,76537,137332,172691,31336,40085,63429,112677,41172,37107,170549,49701,74124,182851,48292,126404
189386,247852,97004,151786,192990,128072,299860,221028,237775,170589,74147,0,164382,66325,62342,102604,290463,191990,136655,147207,54695,168112,220675,47434,16228,248211,229013,225443,129580,212069,32659,196132,176262,222409,228432,150189,298879,121788,220768,226738,188758,221851,55645,133328,159877,30437,180029,85190
175328,202145,48893,237259,174933,172991,147533,215289,140232,179350,110259,164382,0,99865,32598,109669,134798,224153,279757,219675,44241,205882,156265,36182,20796,157608,163239,145524,229804,208089,38432,227664,216397,226388,236284,179852,163858,67803,239773,246005,180086,160610,64695,246768,214868,26235,167018,87838
88722,78682,83885,44781,62777,103809,63198,60138,73319,77061,219652,66325,99865,0,154842,91352,80939,90700,74923,52154,125410,67332,60536,78342,96619,41226,68097,15088,71820,90981,90217,52838,75196,92718,98371,99661,51513,13812,88647,84722,61264,43997,124312,83469,85953,179852,54819,105797
124941,135753,203877,35595,88466,21599,36879,40250,137008,12752,125627,62342,32598,154842,0,66316,154713,54275,28793,105378,78857,18324,178494,35651,30054,194929,179532,158867,15106,41852,46384,19952,35283,25493,29878,31721,158275,102104,68659,56508,112650,145858,96447,28726,26643,176851,109350,237330
83832,141564,64082,139291,72052,87775,152169,199674,74969,137898,122315,102604,109669,91352,66316,0,143788,171428,132906,146723,147470,143434,132784,132044,173087,115091,108431,140586,126471,110248,160668,139205,152465,154678,115932,92869,92286,82385,152976,131753,117108,116053,102299,157033,161571,107563,99901,103200
