Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,100,0,0
Ind_1_M,1,0,-1,100,1,0
Ind_2_F_expected,0,1,-1,500,0,0
Ind_3_F,0,1,-1,100,1,0
Ind_4_M_expected,1,0,-1,500,0,0
Ind_5_F,0,1,-1,100,1,0
Ind_6_M,1,0,-1,100,1,0
Ind_7_F_expected,0,1,-1,500,0,0
Ind_8_F,0,1,-1,100,1,0
Ind_9_F,0,1,-1,100,0,0
Ind_10_F,0,1,-1,100,1,0
Ind_11_F_expected,0,1,-1,500,1,0
Ind_12_M,1,0,-1,100,0,0
Ind_13_M,1,0,-1,100,0,0
Ind_14_M,1,0,-1,100,1,0
Ind_15_M,1,0,-1,100,0,0
Ind_16_M,1,0,-1,100,0,0
Ind_17_M_expected,1,0,-1,500,0,0
Ind_18_M_expected,1,0,-1,500,1,0
Ind_19_M,1,0,-1,100,1,0
