Ind_0_M,Ind_1_M,Ind_2_F,Ind_3_F,Ind_4_M,Ind_5_F,Ind_6_F,Ind_7_M,Ind_8_F,Ind_9_M,Ind_10_M,Ind_11_M,Ind_12_M,Ind_13_M,Ind_14_F
0,521,530,537,617,574,583,494,441,570,564,293,383,548,526
521,0,402,549,541,405,514,493,396,696,393,519,579,440,442
530,402,0,381,399,524,450,469,111,517,374,585,454,594,591
537,549,381,0,507,463,465,373,699,459,448,564,520,629,254
617,541,399,507,0,601,356,622,447,434,522,439,458,613,525
574,405,524,463,601,0,302,433,332,337,471,598,327,411,389
583,514,450,465,356,302,0,508,495,532,343,593,468,675,586
494,493,469,373,622,433,508,0,455,336,467,514,421,430,285
441,396,111,699,447,332,495,455,0,409,441,324,743,383,410
570,696,517,459,434,337,532,336,409,0,612,393,459,606,398
564,393,374,448,522,471,343,467,441,612,0,328,373,432,454
293,519,585,564,439,598,593,514,324,393,328,0,530,502,585
383,579,454,520,458,327,468,421,743,459,373,530,0,354,437
548,440,594,629,613,411,675,430,383,606,432,502,354,0,546
526,442,591,254,525,389,586,285,410,398,454,585,437,546,0
