Ind_0_F,Ind_1_F,Ind_2_F,Ind_3_M,Ind_4_F,Ind_5_F,Ind_6_M,Ind_7_F,Ind_8_F,Ind_9_F,Ind_10_F,Ind_11_M,Ind_12_F,Ind_13_M,Ind_14_F,Ind_15_F,Ind_16_F,Ind_17_M,Ind_18_F,Ind_19_F,Ind_20_M,Ind_21_F,Ind_22_M,Ind_23_F,Ind_24_M,Ind_25_F,Ind_26_M,Ind_27_M,Ind_28_M,Ind_29_F
0,399,372,534,497,682,522,370,389,528,641,289,263,191,618,443,565,539,509,496,426,510,570,522,522,418,368,299,497,500
399,0,456,630,580,631,455,391,513,351,423,420,420,507,511,403,405,687,344,479,543,483,709,496,614,485,477,350,325,431
372,456,0,582,536,631,705,502,625,316,520,578,445,148,555,574,466,394,645,473,541,476,611,405,405,675,734,536,444,433
534,630,582,0,721,352,608,512,528,503,494,474,287,374,277,298,569,502,581,609,556,596,550,546,554,433,560,708,588,563
497,580,536,721,0,425,490,557,416,390,409,367,388,384,105,538,564,523,519,588,482,413,575,556,450,564,493,439,253,702
682,631,631,352,425,0,410,480,554,511,529,449,569,312,500,575,562,541,500,644,445,594,393,368,436,469,453,795,448,533
522,455,705,608,490,410,0,459,643,454,623,425,499,549,690,326,526,497,607,479,595,428,302,479,434,575,369,692,403,357
370,391,502,512,557,480,459,0,600,459,428,488,607,565,246,393,482,699,693,480,483,669,480,618,558,723,414,316,657,830
389,513,625,528,416,554,643,600,0,374,475,430,298,415,587,424,600,570,717,329,388,551,368,432,533,682,458,573,310,308
528,351,316,503,390,511,454,459,374,0,606,545,397,380,584,632,639,595,663,725,422,336,537,547,429,474,643,448,611,572
641,423,520,494,409,529,623,428,475,606,0,406,532,614,531,655,511,442,463,583,572,634,725,667,624,567,451,522,247,782
289,420,578,474,367,449,425,488,430,545,406,0,322,538,598,462,488,508,687,578,492,590,544,580,369,519,548,509,443,562
263,420,445,287,388,569,499,607,298,397,532,322,0,514,501,480,551,517,588,701,411,346,661,631,328,686,256,606,592,581
191,507,148,374,384,312,549,565,415,380,614,538,514,0,677,225,412,538,442,470,592,403,418,509,570,595,486,615,561,730
618,511,555,277,105,500,690,246,587,584,531,598,501,677,0,595,557,399,485,385,555,641,509,476,517,473,698,495,586,460
443,403,574,298,538,575,326,393,424,632,655,462,480,225,595,0,578,544,561,539,428,399,369,392,581,576,260,530,496,549
565,405,466,569,564,562,526,482,600,639,511,488,551,412,557,578,0,435,698,604,582,357,306,428,437,577,204,440,497,507
539,687,394,502,523,541,497,699,570,595,442,508,517,538,399,544,435,0,771,446,573,500,390,422,638,562,469,420,535,704
509,344,645,581,519,500,607,693,717,663,463,687,588,442,485,561,698,771,0,528,662,452,504,614,211,375,564,670,669,348
496,479,473,609,588,644,479,480,329,725,583,578,701,470,385,539,604,446,528,0,670,245,424,650,744,427,493,362,466,460
426,543,541,556,482,445,595,483,388,422,572,492,411,592,555,428,582,573,662,670,0,536,472,453,461,438,469,485,567,433
510,483,476,596,413,594,428,669,551,336,634,590,346,403,641,399,357,500,452,245,536,0,509,576,523,378,596,388,339,598
570,709,611,550,575,393,302,480,368,537,725,544,661,418,509,369,306,390,504,424,472,509,0,852,498,467,537,551,393,250
522,496,405,546,556,368,479,618,432,547,667,580,631,509,476,392,428,422,614,650,453,576,852,0,512,496,597,359,549,456
522,614,405,554,450,436,434,558,533,429,624,369,328,570,517,581,437,638,211,744,461,523,498,512,0,634,308,393,278,630
418,485,675,433,564,469,575,723,682,474,567,519,686,595,473,576,577,562,375,427,438,378,467,496,634,0,515,608,395,387
368,477,734,560,493,453,369,414,458,643,451,548,256,486,698,260,204,469,564,493,469,596,537,597,308,515,0,453,673,650
299,350,536,708,439,795,692,316,573,448,522,509,606,615,495,530,440,420,670,362,485,388,551,359,393,608,453,0,760,532
497,325,444,588,253,448,403,657,310,611,247,443,592,561,586,496,497,535,669,466,567,339,393,549,278,395,673,760,0,362
500,431,433,563,702,533,357,830,308,572,782,562,581,730,460,549,507,704,348,460,433,598,250,456,630,387,650,532,362,0
