Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,468,0,0
Ind_1_F,0,1,-1,840,1,0
Ind_2_F,0,1,-1,704,1,0
Ind_3_F,0,1,-1,587,1,0
Ind_4_F,0,1,-1,418,1,0
Ind_5_F,0,1,-1,173,0,0
Ind_6_M,1,0,-1,376,0,0
Ind_7_F,0,1,-1,322,1,0
Ind_8_F,0,1,-1,194,0,0
Ind_9_F,0,1,-1,376,1,0
Ind_10_M,1,0,-1,703,1,0
Ind_11_M,1,0,-1,336,1,0
Ind_12_F,0,1,-1,542,0,0
Ind_13_M,1,0,-1,180,0,0
Ind_14_F,0,1,-1,767,1,0
Ind_15_F,0,1,-1,634,0,0
Ind_16_M,1,0,-1,674,0,0
Ind_17_F,0,1,-1,556,1,0
Ind_18_M,1,0,-1,676,1,0
Ind_19_F,0,1,-1,422,1,0
Ind_20_M,1,0,-1,716,1,0
Ind_21_F,0,1,-1,444,1,0
Ind_22_M,1,0,-1,727,1,0
Ind_23_F,0,1,-1,439,1,0
Ind_24_F,0,1,-1,360,0,0
Ind_25_F,0,1,-1,389,1,0
Ind_26_M,1,0,-1,463,1,0
Ind_27_M,1,0,-1,521,1,0
Ind_28_M,1,0,-1,442,0,0
Ind_29_M,1,0,-1,178,0,0
Ind_30_F,0,1,-1,725,0,0
Ind_31_M,1,0,-1,618,1,0
Ind_32_M,1,0,-1,548,0,0
Ind_33_M,1,0,-1,628,0,0
Ind_34_F,0,1,-1,604,1,0
Ind_35_F,0,1,-1,289,1,0
Ind_36_F,0,1,-1,800,0,0
Ind_37_M,1,0,-1,573,0,0
Ind_38_M,1,0,-1,805,1,0
Ind_39_M,1,0,-1,444,1,0
Ind_40_M,1,0,-1,591,0,0
Ind_41_F,0,1,-1,136,0,0
Ind_42_F,0,1,-1,490,1,0
Ind_43_F,0,1,-1,595,0,0
Ind_44_M,1,0,-1,329,0,0
