Ind_0_F,Ind_1_F,Ind_2_F,Ind_3_F,Ind_4_F,Ind_5_F,Ind_6_M,Ind_7_F,Ind_8_F,Ind_9_F,Ind_10_M,Ind_11_M,Ind_12_F,Ind_13_M,Ind_14_F,Ind_15_F,Ind_16_M,Ind_17_F,Ind_18_M,Ind_19_F,Ind_20_M,Ind_21_F,Ind_22_M,Ind_23_F,Ind_24_F,Ind_25_F,Ind_26_M,Ind_27_M,Ind_28_M,Ind_29_M,Ind_30_F,Ind_31_M,Ind_32_M,Ind_33_M,Ind_34_F,Ind_35_F,Ind_36_F,Ind_37_M,Ind_38_M,Ind_39_M,Ind_40_M,Ind_41_F,Ind_42_F,Ind_43_F,Ind_44_M
0,570,526,557,397,494,327,387,414,664,300,587,380,385,514,486,385,619,505,333,594,553,598,634,490,504,438,604,470,606,300,469,490,472,575,515,568,481,436,573,577,361,587,476,320
570,0,585,454,638,581,409,439,484,695,395,700,446,478,553,339,589,417,470,713,614,386,623,608,418,297,564,411,346,486,468,152,360,538,451,529,492,474,676,574,639,634,446,652,366
526,585,0,594,451,602,492,624,514,391,490,434,461,459,679,521,158,352,536,585,598,520,296,574,440,370,633,488,451,492,547,468,480,507,267,408,576,562,407,444,614,386,682,433,611
557,454,594,0,406,557,265,211,532,480,322,692,497,391,543,515,631,575,381,622,427,448,506,421,525,709,285,492,491,693,634,284,389,624,491,354,317,379,527,384,387,502,555,393,450
397,638,451,406,0,669,585,384,507,288,534,531,371,600,384,427,819,491,499,474,438,460,340,621,314,506,469,546,488,333,429,431,438,637,768,324,317,321,428,597,531,444,473,537,519
494,581,602,557,669,0,616,481,374,365,550,680,626,764,267,532,618,671,363,350,575,262,400,584,604,551,503,460,424,770,565,476,628,545,389,526,361,600,466,581,483,397,638,605,644
327,409,492,265,585,616,0,385,550,305,624,718,593,513,474,579,678,509,518,330,476,546,608,483,535,325,689,815,608,397,472,551,531,673,400,473,362,386,686,481,629,663,550,379,557
387,439,624,211,384,481,385,0,669,601,611,612,534,443,479,576,519,479,436,531,352,578,517,511,423,377,462,556,437,645,424,401,621,656,727,552,318,557,481,310,473,303,609,524,503
414,484,514,532,507,374,550,669,0,407,433,190,606,636,606,546,460,361,480,417,544,448,584,593,630,696,521,494,426,345,216,295,454,228,552,386,607,574,358,319,457,391,430,643,511
664,695,391,480,288,365,305,601,407,0,499,709,375,436,501,575,378,467,538,562,352,535,381,675,618,466,454,298,692,421,491,329,371,366,410,563,489,483,555,477,535,619,290,638,495
300,395,490,322,534,550,624,611,433,499,0,255,545,411,549,630,496,504,588,460,668,707,372,613,518,450,572,468,478,401,454,623,310,688,356,658,288,598,576,462,569,460,318,491,539
587,700,434,692,531,680,718,612,190,709,255,0,379,344,584,495,548,736,448,495,308,529,273,647,466,564,422,606,521,472,545,531,362,447,509,487,541,344,436,567,314,412,579,465,539
380,446,461,497,371,626,593,534,606,375,545,379,0,482,239,759,344,355,733,499,462,491,366,430,266,726,553,294,189,509,435,468,637,368,524,565,487,289,579,480,582,408,556,375,573
385,478,459,391,600,764,513,443,636,436,411,344,482,0,418,539,823,428,845,463,733,610,376,555,589,240,502,526,515,516,560,531,343,359,543,479,657,390,477,452,637,485,533,542,388
514,553,679,543,384,267,474,479,606,501,549,584,239,418,0,582,405,539,590,316,584,688,655,541,540,436,479,618,651,464,548,662,324,804,482,594,425,517,586,528,451,597,423,549,354
486,339,521,515,427,532,579,576,546,575,630,495,759,539,582,0,589,626,685,405,534,391,669,403,338,556,584,593,378,327,563,582,674,533,339,581,599,284,587,576,363,582,496,500,504
385,589,158,631,819,618,678,519,460,378,496,548,344,823,405,589,0,544,558,478,485,557,404,215,359,561,615,508,548,503,369,239,697,480,545,222,572,546,412,599,560,537,508,631,268
619,417,352,575,491,671,509,479,361,467,504,736,355,428,539,626,544,0,542,373,540,605,567,440,329,489,473,249,495,479,510,569,592,519,515,308,492,470,605,458,523,495,492,407,491
505,470,536,381,499,363,518,436,480,538,588,448,733,845,590,685,558,542,0,304,482,407,551,463,339,401,500,269,537,657,355,393,506,630,520,515,690,401,638,351,425,286,476,511,550
333,713,585,622,474,350,330,531,417,562,460,495,499,463,316,405,478,373,304,0,471,422,572,481,404,492,387,747,706,608,587,321,509,573,607,426,439,262,529,536,595,467,398,492,400
594,614,598,427,438,575,476,352,544,352,668,308,462,733,584,534,485,540,482,471,0,519,485,476,613,348,592,436,484,483,697,427,539,504,461,554,652,625,641,503,712,439,563,538,651
553,386,520,448,460,262,546,578,448,535,707,529,491,610,688,391,557,605,407,422,519,0,321,554,344,360,284,380,675,214,522,457,566,524,840,525,489,421,367,468,537,630,377,552,378
598,623,296,506,340,400,608,517,584,381,372,273,366,376,655,669,404,567,551,572,485,321,0,594,637,633,617,567,561,445,539,423,556,340,316,632,415,677,595,510,541,608,515,413,406
634,608,574,421,621,584,483,511,593,675,613,647,430,555,541,403,215,440,463,481,476,554,594,0,387,449,610,504,271,708,362,533,683,581,452,481,623,453,325,596,254,591,549,532,360
490,418,440,525,314,604,535,423,630,618,518,466,266,589,540,338,359,329,339,404,613,344,637,387,0,556,591,526,677,496,645,469,523,655,723,555,564,502,521,660,467,504,607,509,590
504,297,370,709,506,551,325,377,696,466,450,564,726,240,436,556,561,489,401,492,348,360,633,449,556,0,386,388,445,250,467,314,238,517,450,464,453,547,739,488,464,408,431,477,501
438,564,633,285,469,503,689,462,521,454,572,422,553,502,479,584,615,473,500,387,592,284,617,610,591,386,0,483,522,571,489,382,559,608,557,561,523,520,454,446,410,431,533,478,530
604,411,488,492,546,460,815,556,494,298,468,606,294,526,618,593,508,249,269,747,436,380,567,504,526,388,483,0,579,562,376,396,465,528,490,514,224,601,484,477,487,554,644,493,499
470,346,451,491,488,424,608,437,426,692,478,521,189,515,651,378,548,495,537,706,484,675,561,271,677,445,522,579,0,522,232,424,714,438,348,496,471,462,573,575,470,449,471,400,579
606,486,492,693,333,770,397,645,345,421,401,472,509,516,464,327,503,479,657,608,483,214,445,708,496,250,571,562,522,0,566,473,280,542,641,521,669,533,586,738,519,417,580,384,691
