Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_M,1,0,-1,138,1,0
Ind_1_F,0,1,-1,112,0,0
Ind_2_F,0,1,-1,164,1,0
Ind_3_M,1,0,-1,55,0,0
Ind_4_F,0,1,-1,194,1,0
Ind_5_M,1,0,-1,86,0,0
Ind_6_M,1,0,-1,78,1,0
Ind_7_F,0,1,-1,92,0,0
Ind_8_F,0,1,-1,157,1,0
Ind_9_F,0,1,-1,180,1,0
Ind_10_M,1,0,-1,98,0,0
Ind_11_F,0,1,-1,116,0,0
Ind_12_M,1,0,-1,147,1,0
Ind_13_F,0,1,-1,0,0,0
Ind_14_F,0,1,-1,171,0,0
Ind_15_M,1,0,-1,107,0,0
Ind_16_M,1,0,-1,133,0,0
Ind_17_M,1,0,-1,142,0,0
Ind_18_F,0,1,-1,69,0,0
Ind_19_F,0,1,-1,121,1,0
Ind_20_M,1,0,-1,125,1,0
Ind_21_M,1,0,-1,250,0,0
Ind_22_M,1,0,-1,103,0,0
Ind_23_M,1,0,-1,152,1,0
Ind_24_F,0,1,-1,129,1,0
