Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,552,1,0
Ind_1_M,1,0,-1,449,1,0
Ind_2_M,1,0,-1,656,1,0
Ind_3_M,1,0,-1,222,0,0
Ind_4_M,1,0,-1,779,0,0
Ind_5_F,0,1,-1,345,1,0
Ind_6_M,1,0,-1,315,1,0
Ind_7_F,0,1,-1,370,0,0
Ind_8_F,0,1,-1,631,1,0
Ind_9_M,1,0,-1,723,0,0
Ind_10_F,0,1,-1,392,0,0
Ind_11_F,0,1,-1,467,1,0
Ind_12_M,1,0,-1,589,0,0
Ind_13_M,1,0,-1,1,1,0
Ind_14_F,0,1,-1,686,1,0
Ind_15_M,1,0,-1,431,0,0
Ind_16_F,0,1,-1,534,0,0
Ind_17_M,1,0,-1,570,1,0
Ind_18_F,0,1,-1,278,0,0
Ind_19_F,0,1,-1,484,0,0
Ind_20_M,1,0,-1,500,0,0
Ind_21_F,0,1,-1,1000,0,0
Ind_22_F,0,1,-1,412,0,0
Ind_23_F,0,1,-1,609,1,0
Ind_24_M,1,0,-1,517,1,0
