Ind_0_F,Ind_1_M,Ind_2_M,Ind_3_F,Ind_4_F,Ind_5_F,Ind_6_M,Ind_7_F,Ind_8_F,Ind_9_M,Ind_10_F,Ind_11_F,Ind_12_M,Ind_13_F,Ind_14_F,Ind_15_M,Ind_16_M,Ind_17_F,Ind_18_F,Ind_19_F,Ind_20_M,Ind_21_F,Ind_22_F,Ind_23_F,Ind_24_M
0,212,320,249,317,457,249,361,156,114,116,152,116,211,425,297,410,143,409,36,336,125,370,156,309
212,0,367,430,410,88,198,167,176,167,359,285,254,330,333,374,270,99,392,133,141,404,137,442,325
320,367,0,230,164,98,295,279,418,108,121,207,212,201,417,444,118,157,263,293,407,400,471,211,185
249,430,230,0,308,185,206,66,262,392,110,501,277,232,489,231,110,144,185,88,165,76,412,442,110
317,410,164,308,0,154,270,283,458,399,165,337,170,445,53,284,515,184,176,314,346,119,197,349,317
457,88,98,185,154,0,366,304,322,37,89,320,188,132,171,307,330,379,105,349,421,84,108,219,220
249,198,295,206,270,366,0,339,153,168,358,201,284,465,255,296,228,251,265,366,177,295,512,187,301
361,167,279,66,283,304,339,0,80,339,294,181,204,143,411,270,201,227,173,211,440,344,416,253,249
156,176,418,262,458,322,153,80,0,182,301,423,35,136,446,432,228,129,150,382,397,284,322,243,94
114,167,108,392,399,37,168,339,182,0,363,204,435,341,312,248,373,114,393,427,339,209,206,177,251
116,359,121,110,165,89,358,294,301,363,0,230,199,241,342,343,297,180,507,254,266,204,357,127,223
152,285,207,501,337,320,201,181,423,204,230,0,323,407,226,299,70,331,481,161,307,138,388,146,418
116,254,212,277,170,188,284,204,35,435,199,323,0,212,196,269,278,485,436,243,407,253,311,103,457
211,330,201,232,445,132,465,143,136,341,241,407,212,0,124,392,155,180,35,258,344,303,434,239,408
425,333,417,489,53,171,255,411,446,312,342,226,196,124,0,217,331,478,47,149,286,304,449,209,373
297,374,444,231,284,307,296,270,432,248,343,299,269,392,217,0,343,393,418,308,318,342,165,358,146
410,270,118,110,515,330,228,201,228,373,297,70,278,155,331,343,0,437,488,186,298,138,256,127,143
143,99,157,144,184,379,251,227,129,114,180,331,485,180,478,393,437,0,222,220,372,271,270,402,212
409,392,263,185,176,105,265,173,150,393,507,481,436,35,47,418,488,222,0,315,50,271,282,287,363
36,133,293,88,314,349,366,211,382,427,254,161,243,258,149,308,186,220,315,0,390,355,328,153,294
336,141,407,165,346,421,177,440,397,339,266,307,407,344,286,318,298,372,50,390,0,325,306,145,267
125,404,400,76,119,84,295,344,284,209,204,138,253,303,304,342,138,271,271,355,325,0,393,393,60
370,137,471,412,197,108,512,416,322,206,357,388,311,434,449,165,256,270,282,328,306,393,0,311,197
156,442,211,442,349,219,187,253,243,177,127,146,103,239,209,358,127,402,287,153,145,393,311,0,279
309,325,185,110,317,220,301,249,94,251,223,418,457,408,373,146,143,212,363,294,267,60,197,279,0
