Ind_0_F,Ind_1_F,Ind_2_M,Ind_3_F,Ind_4_M,Ind_5_M,Ind_6_F,Ind_7_F,Ind_8_M,Ind_9_F,Ind_10_M,Ind_11_M,Ind_12_F,Ind_13_F,Ind_14_F,Ind_15_F,Ind_16_F,Ind_17_F,Ind_18_F,Ind_19_F,Ind_20_M,Ind_21_M,Ind_22_F,Ind_23_F,Ind_24_M
0,328,495,386,491,707,385,558,241,177,179,236,180,327,657,459,634,222,632,56,520,193,572,241,478
328,0,568,665,633,136,306,258,273,258,555,441,393,510,515,579,418,153,606,206,219,624,212,684,502
495,568,0,356,254,152,456,431,646,167,187,320,328,311,645,687,182,243,407,454,630,618,729,327,286
386,665,356,0,476,286,319,102,406,606,170,775,428,358,756,357,171,222,286,136,254,117,637,683,171
491,633,254,476,0,238,417,438,709,617,255,521,263,688,82,440,796,285,272,486,535,185,305,540,490
707,136,152,286,238,0,565,470,498,57,137,495,291,204,265,475,511,586,162,540,651,131,167,339,340
385,306,456,319,417,565,0,524,237,260,554,311,440,718,394,458,353,388,409,565,273,456,792,289,465
558,258,431,102,438,470,524,0,124,524,454,280,315,221,636,417,311,351,268,326,680,532,644,392,385
241,273,646,406,709,498,237,124,0,282,465,654,54,210,690,668,353,199,232,591,614,439,498,376,146
177,258,167,606,617,57,260,524,282,0,561,315,672,527,483,384,576,177,607,660,524,323,318,274,388
179,555,187,170,255,137,554,454,465,561,0,356,308,373,529,531,460,278,784,393,411,315,552,197,345
236,441,320,775,521,495,311,280,654,315,356,0,499,630,350,463,109,512,743,249,474,214,600,225,646
180,393,328,428,263,291,440,315,54,672,308,499,0,327,303,416,430,750,674,376,629,392,481,160,706
327,510,311,358,688,204,718,221,210,527,373,630,327,0,192,607,240,278,54,399,532,469,671,369,631
657,515,645,756,82,265,394,636,690,483,529,350,303,192,0,336,512,739,73,230,442,471,695,324,577
459,579,687,357,440,475,458,417,668,384,531,463,416,607,336,0,530,608,646,476,491,528,256,553,226
634,418,182,171,796,511,353,311,353,576,460,109,430,240,512,530,0,675,755,287,461,214,395,197,221
222,153,243,222,285,586,388,351,199,177,278,512,750,278,739,608,675,0,343,341,575,419,417,621,328
632,606,407,286,272,162,409,268,232,607,784,743,674,54,73,646,755,343,0,487,77,420,436,444,561
56,206,454,136,486,540,565,326,591,660,393,249,376,399,230,476,287,341,487,0,603,549,507,236,454
520,219,630,254,535,651,273,680,614,524,411,474,629,532,442,491,461,575,77,603,0,503,474,224,413
193,624,618,117,185,131,456,532,439,323,315,214,392,469,471,528,214,419,420,549,503,0,608,608,93
572,212,729,637,305,167,792,644,498,318,552,600,481,671,695,256,395,417,436,507,474,608,0,481,304
241,684,327,683,540,339,289,392,376,274,197,225,160,369,324,553,197,621,444,236,224,608,481,0,432
478,502,286,171,490,340,465,385,146,388,345,646,706,631,577,226,221,328,561,454,413,93,304,432,0
