Ind_0_F,Ind_1_F,Ind_2_M,Ind_3_F,Ind_4_F,Ind_5_M,Ind_6_F,Ind_7_M,Ind_8_F,Ind_9_F,Ind_10_M,Ind_11_F,Ind_12_F,Ind_13_F,Ind_14_M,Ind_15_F,Ind_16_F,Ind_17_M,Ind_18_F,Ind_19_F,Ind_20_M,Ind_21_M,Ind_22_F,Ind_23_F,Ind_24_F
0,4,49,38,49,11,72,94,31,91,51,75,58,25,46,78,63,62,66,54,64,86,55,46,45
4,0,54,87,24,60,37,22,38,64,62,31,21,61,38,61,64,46,53,77,81,35,55,65,41
49,54,0,27,32,61,37,44,29,51,46,74,63,33,45,42,64,56,47,20,36,33,69,71,49
38,87,27,0,67,46,45,26,32,87,23,83,4,42,55,49,63,60,28,47,41,28,38,15,25
49,24,32,67,0,39,10,60,77,42,90,24,53,14,74,35,82,28,68,47,48,57,70,49,22
11,60,61,46,39,0,44,46,72,45,73,36,21,38,67,47,43,47,68,31,83,47,49,64,64
72,37,37,45,10,44,0,40,43,61,59,42,69,81,30,33,15,74,82,14,4,55,61,77,98
94,22,44,26,60,46,40,0,37,19,56,28,42,44,32,34,33,49,54,96,33,72,15,48,47
31,38,29,32,77,72,43,37,0,69,26,68,49,41,23,57,57,42,61,73,46,51,49,37,48
91,64,51,87,42,45,61,19,69,0,48,40,70,80,92,35,49,41,58,76,53,55,92,52,37
51,62,46,23,90,73,59,56,26,48,0,18,11,33,10,61,43,67,13,36,40,75,44,27,59
75,31,74,83,24,36,42,28,68,40,18,0,16,26,44,24,34,42,45,30,81,52,41,71,26
58,21,63,4,53,21,69,42,49,70,11,16,0,43,19,68,44,85,65,75,13,80,51,68,75
25,61,33,42,14,38,81,44,41,80,33,26,43,0,56,70,37,19,70,59,36,40,75,48,56
46,38,45,55,74,67,30,32,23,92,10,44,19,56,0,17,66,58,53,68,56,46,60,40,55
78,61,42,49,35,47,33,34,57,35,61,24,68,70,17,0,32,53,48,8,28,62,65,72,44
63,64,64,63,82,43,15,33,57,49,43,34,44,37,66,32,0,39,43,48,18,62,40,62,17
62,46,56,60,28,47,74,49,42,41,67,42,85,19,58,53,39,0,18,52,73,22,60,62,64
66,53,47,28,68,68,82,54,61,58,13,45,65,70,53,48,43,18,0,33,26,37,82,56,37
54,77,20,47,47,31,14,96,73,76,36,30,75,59,68,8,48,52,33,0,35,44,38,82,28
64,81,36,41,48,83,4,33,46,53,40,81,13,36,56,28,18,73,26,35,0,23,19,41,55
86,35,33,28,57,47,55,72,51,55,75,52,80,40,46,62,62,22,37,44,23,0,64,24,25
55,55,69,38,70,49,61,15,49,92,44,41,51,75,60,65,40,60,82,38,19,64,0,71,66
46,65,71,15,49,64,77,48,37,52,27,71,68,48,40,72,62,62,56,82,41,24,71,0,43
45,41,49,25,22,64,98,47,48,37,59,26,75,56,55,44,17,64,37,28,55,25,66,43,0
