Ind_0_M,Ind_1_F,Ind_2_F,Ind_3_M,Ind_4_F,Ind_5_M,Ind_6_F,Ind_7_F,Ind_8_M,Ind_9_F,Ind_10_F,Ind_11_M,Ind_12_M,Ind_13_M,Ind_14_M,Ind_15_M,Ind_16_M,Ind_17_M,Ind_18_M,Ind_19_F,Ind_20_F,Ind_21_M,Ind_22_F,Ind_23_M,Ind_24_F
0,10,124,95,124,28,181,237,78,227,128,188,146,64,115,196,159,156,165,136,160,216,139,115,114
10,0,135,217,60,151,93,57,96,160,157,79,53,153,95,154,162,115,133,194,203,89,139,164,102
124,135,0,68,81,153,92,112,73,128,115,186,158,82,113,105,160,140,119,50,90,82,174,178,122
95,217,68,0,167,116,113,66,81,219,59,207,11,106,139,124,158,151,70,118,103,71,96,38,64
124,60,81,167,0,98,26,150,193,106,227,62,134,35,186,88,205,71,171,119,121,143,175,123,56
28,151,153,116,98,0,110,115,180,114,184,92,53,97,168,119,109,117,170,79,209,119,122,160,161
181,93,92,113,26,110,0,100,108,153,149,105,173,203,75,84,39,186,207,35,12,138,154,192,245
237,57,112,66,150,115,100,0,94,48,141,70,105,111,80,86,84,122,135,241,83,181,39,121,118
78,96,73,81,193,180,108,94,0,172,66,170,123,104,58,143,143,107,153,184,116,129,123,94,121
227,160,128,219,106,114,153,48,172,0,120,101,175,200,232,88,123,104,145,191,134,138,230,131,93
128,157,115,59,227,184,149,141,66,120,0,47,29,83,26,153,109,168,33,91,101,188,110,69,148
188,79,186,207,62,92,105,70,170,101,47,0,41,67,111,61,87,105,112,75,204,132,104,177,67
146,53,158,11,134,53,173,105,123,175,29,41,0,108,49,170,111,213,163,188,34,201,129,171,187
64,153,82,106,35,97,203,111,104,200,83,67,108,0,140,175,93,48,177,147,91,101,189,120,140
115,95,113,139,186,168,75,80,58,232,26,111,49,140,0,42,165,147,134,170,142,117,150,100,139
196,154,105,124,88,119,84,86,143,88,153,61,170,175,42,0,81,134,122,22,71,156,163,181,111
159,162,160,158,205,109,39,84,143,123,109,87,111,93,165,81,0,98,108,121,45,156,100,155,44
156,115,140,151,71,117,186,122,107,104,168,105,213,48,147,134,98,0,46,131,183,57,150,155,161
165,133,119,70,171,170,207,135,153,145,33,112,163,177,134,122,108,46,0,82,65,94,205,140,93
136,194,50,118,119,79,35,241,184,191,91,75,188,147,170,22,121,131,82,0,89,112,97,207,72
160,203,90,103,121,209,12,83,116,134,101,204,34,91,142,71,45,183,65,89,0,57,48,104,139
216,89,82,71,143,119,138,181,129,138,188,132,201,101,117,156,156,57,94,112,57,0,160,61,64
139,139,174,96,175,122,154,39,123,230,110,104,129,189,150,163,100,150,205,97,48,160,0,178,166
115,164,178,38,123,160,192,121,94,131,69,177,171,120,100,181,155,155,140,207,104,61,178,0,108
114,102,122,64,56,161,245,118,121,93,148,67,187,140,139,111,44,161,93,72,139,64,166,108,0
