Ind_0_F,Ind_1_M,Ind_2_F,Ind_3_F,Ind_4_M,Ind_5_M,Ind_6_M,Ind_7_F,Ind_8_F,Ind_9_F,Ind_10_M,Ind_11_M,Ind_12_M,Ind_13_F,Ind_14_M,Ind_15_F,Ind_16_F,Ind_17_M,Ind_18_M,Ind_19_F,Ind_20_F,Ind_21_M,Ind_22_M,Ind_23_F,Ind_24_M
0,16,199,152,199,44,290,379,126,364,204,302,233,102,184,313,255,249,265,218,256,345,223,184,183
16,0,216,348,97,242,149,91,155,257,251,127,85,245,152,247,259,185,213,311,324,143,222,263,164
199,216,0,109,130,245,148,179,116,206,185,298,254,132,181,169,256,225,191,80,144,132,278,285,196
152,348,109,0,268,186,181,106,131,350,94,332,17,170,223,198,253,243,112,189,166,114,154,61,103
199,97,130,268,0,157,42,240,309,171,363,99,214,57,297,141,328,113,274,190,193,230,281,197,90
44,242,245,186,157,0,177,184,288,183,294,147,85,155,269,191,174,188,273,127,335,191,196,257,257
290,149,148,181,42,177,0,160,174,245,239,169,278,326,120,135,62,299,331,56,19,220,247,308,393
379,91,179,106,240,184,160,0,151,77,226,113,169,179,129,138,134,196,217,386,132,290,63,193,189
126,155,116,131,309,288,174,151,0,276,105,272,196,167,94,229,230,171,245,294,185,207,198,151,194
364,257,206,350,171,183,245,77,276,0,192,162,281,320,371,141,196,166,232,307,214,221,369,210,149
204,251,185,94,363,294,239,226,105,192,0,75,47,133,42,244,175,269,53,145,162,301,176,111,237
302,127,298,332,99,147,169,113,272,162,75,0,66,107,177,98,139,168,180,120,327,211,167,284,107
233,85,254,17,214,85,278,169,196,281,47,66,0,173,79,272,178,340,261,301,54,321,207,274,300
102,245,132,170,57,155,326,179,167,320,133,107,173,0,225,281,149,77,283,236,145,161,302,193,224
184,152,181,223,297,269,120,129,94,371,42,177,79,225,0,68,264,235,214,272,227,187,241,160,222
313,247,169,198,141,191,135,138,229,141,244,98,272,281,68,0,130,215,195,35,114,250,261,289,178
255,259,256,253,328,174,62,134,230,196,175,139,178,149,264,130,0,156,173,194,73,250,160,249,71
249,185,225,243,113,188,299,196,171,166,269,168,340,77,235,215,156,0,73,210,293,91,241,248,258
265,213,191,112,274,273,331,217,245,232,53,180,261,283,214,195,173,73,0,132,105,151,328,225,149
218,311,80,189,190,127,56,386,294,307,145,120,301,236,272,35,194,210,132,0,143,179,155,331,115
256,324,144,166,193,335,19,132,185,214,162,327,54,145,227,114,73,293,105,143,0,92,77,166,223
345,143,132,114,230,191,220,290,207,221,301,211,321,161,187,250,250,91,151,179,92,0,256,98,103
223,222,278,154,281,196,247,63,198,369,176,167,207,302,241,261,160,241,328,155,77,256,0,286,265
184,263,285,61,197,257,308,193,151,210,111,284,274,193,160,289,249,248,225,331,166,98,286,0,173
183,164,196,103,90,257,393,189,194,149,237,107,300,224,222,178,71,258,149,115,223,103,265,173,0
