Ind_0_M,Ind_1_F,Ind_2_F,Ind_3_F,Ind_4_M,Ind_5_M,Ind_6_M,Ind_7_F,Ind_8_F,Ind_9_M,Ind_10_M,Ind_11_F,Ind_12_M,Ind_13_F,Ind_14_F,Ind_15_M,Ind_16_M,Ind_17_M,Ind_18_F,Ind_19_F,Ind_20_F,Ind_21_F,Ind_22_F,Ind_23_M,Ind_24_M
0,28,348,267,348,78,508,664,220,637,358,528,409,179,323,549,447,437,464,382,449,605,390,323,321
28,0,378,609,169,423,260,160,271,450,439,223,149,429,266,433,454,323,373,545,568,251,389,461,286
348,378,0,191,227,428,259,314,204,360,323,521,444,231,318,295,449,393,334,140,253,231,487,498,343
267,609,191,0,470,326,318,186,229,613,165,582,31,298,391,347,443,425,196,330,290,199,270,106,180
348,169,227,470,0,274,74,421,540,299,635,174,375,99,520,248,574,198,480,333,338,402,492,345,157
78,423,428,326,274,0,309,322,504,320,515,257,150,272,472,335,305,330,477,223,587,334,344,449,450
508,260,259,318,74,309,0,280,304,429,418,296,486,570,210,236,109,523,580,98,34,386,433,539,688
664,160,314,186,421,322,280,0,265,134,395,198,295,313,226,241,235,343,380,675,232,508,111,339,331
220,271,204,229,540,504,304,265,0,483,184,477,344,293,164,401,402,299,428,515,324,363,346,264,340
637,450,360,613,299,320,429,134,483,0,336,283,492,560,649,246,344,291,406,537,375,387,646,367,261
358,439,323,165,635,515,418,395,184,336,0,132,82,232,73,428,307,471,93,254,283,527,309,194,414
528,223,521,582,174,257,296,198,477,283,132,0,115,188,311,172,243,294,315,210,573,369,292,497,187
409,149,444,31,375,150,486,295,344,492,82,115,0,303,138,477,312,596,456,527,95,563,362,480,525
179,429,231,298,99,272,570,313,293,560,232,188,303,0,393,492,261,135,495,412,255,282,529,338,392
323,266,318,391,520,472,210,226,164,649,73,311,138,393,0,119,463,411,375,477,398,327,421,281,389
549,433,295,347,248,335,236,241,401,246,428,172,477,492,119,0,228,376,341,61,200,437,457,507,312
447,454,449,443,574,305,109,235,402,344,307,243,312,261,463,228,0,274,304,340,127,438,280,436,125
437,323,393,425,198,330,523,343,299,291,471,294,596,135,411,376,274,0,128,367,513,159,422,434,452
464,373,334,196,480,477,580,380,428,406,93,315,456,495,375,341,304,128,0,230,184,265,575,394,261
382,545,140,330,333,223,98,675,515,537,254,210,527,412,477,61,340,367,230,0,251,313,271,580,201
449,568,253,290,338,587,34,232,324,375,283,573,95,255,398,200,127,513,184,251,0,161,135,291,390
605,251,231,199,402,334,386,508,363,387,527,369,563,282,327,437,438,159,265,313,161,0,448,172,180
390,389,487,270,492,344,433,111,346,646,309,292,362,529,421,457,280,422,575,271,135,448,0,500,464
323,461,498,106,345,449,539,339,264,367,194,497,480,338,281,507,436,434,394,580,291,172,500,0,303
321,286,343,180,157,450,688,331,340,261,414,187,525,392,389,312,125,452,261,201,390,180,464,303,0
