Name,Male,Female,AssignToGroup,Alleles,Proven,Priority
Ind_0_F,0,1,-1,518,1,0
Ind_1_M,1,0,-1,383,0,0
Ind_2_M,1,0,-1,430,1,0
Ind_3_M,1,0,-1,428,1,0
Ind_4_M,1,0,-1,642,0,0
Ind_5_M,1,0,-1,317,1,0
Ind_6_F,0,1,-1,374,0,0
Ind_7_F,0,1,-1,759,0,0
Ind_8_F,0,1,-1,286,0,0
Ind_9_F,0,1,-1,377,0,0
Ind_10_F,0,1,-1,483,0,0
Ind_11_F,0,1,-1,585,0,0
Ind_12_F,0,1,-1,85,0,0
Ind_13_M,1,0,-1,498,1,0
Ind_14_F,0,1,-1,461,1,0
Ind_15_F,0,1,-1,675,0,0
Ind_16_M,1,0,-1,508,1,0
Ind_17_F,0,1,-1,273,1,0
Ind_18_F,0,1,-1,572,1,0
Ind_19_F,0,1,-1,481,0,0
Ind_20_M,1,0,-1,568,1,0
Ind_21_M,1,0,-1,340,0,0
Ind_22_M,1,0,-1,544,1,0
Ind_23_M,1,0,-1,604,1,0
Ind_24_M,1,0,-1,687,0,0
Ind_25_F,0,1,-1,819,0,0
Ind_26_M,1,0,-1,492,0,0
Ind_27_M,1,0,-1,731,0,0
Ind_28_F,0,1,-1,668,1,0
Ind_29_M,1,0,-1,630,1,0
