Ind_0_F,Ind_1_M,Ind_2_M,Ind_3_M,Ind_4_M,Ind_5_M,Ind_6_F,Ind_7_F,Ind_8_F,Ind_9_F,Ind_10_F,Ind_11_F,Ind_12_F,Ind_13_M,Ind_14_F,Ind_15_F,Ind_16_M,Ind_17_F,Ind_18_F,Ind_19_F,Ind_20_M,Ind_21_M,Ind_22_M,Ind_23_M,Ind_24_M,Ind_25_F,Ind_26_M,Ind_27_M,Ind_28_F,Ind_29_M
0,470,641,307,546,343,672,445,571,487,565,663,425,830,618,537,422,691,559,523,488,624,363,429,546,346,607,411,667,482
470,0,744,532,657,518,557,381,448,502,727,276,625,572,637,373,255,330,505,461,256,499,640,430,496,569,442,644,548,556
641,744,0,512,502,322,506,439,344,489,358,547,527,391,254,421,472,423,692,462,606,314,460,348,442,478,379,452,377,379
307,532,512,0,443,366,697,373,567,422,650,514,543,353,570,666,266,547,514,564,309,601,606,618,534,382,498,522,488,472
546,657,502,443,0,645,629,448,398,387,686,493,287,634,388,469,465,428,526,376,553,536,496,407,562,386,682,562,569,461
343,518,322,366,645,0,554,596,465,561,663,730,637,734,418,549,397,457,635,219,468,412,261,451,454,621,479,444,587,458
672,557,506,697,629,554,0,356,701,584,310,489,569,548,580,565,658,276,523,384,340,549,672,430,460,502,468,498,673,525
445,381,439,373,448,596,356,0,508,667,430,506,361,237,422,395,850,135,457,727,297,805,292,642,285,527,440,432,440,434
571,448,344,567,398,465,701,508,0,349,489,410,425,557,714,311,425,454,400,441,549,611,257,460,683,444,405,686,493,280
487,502,489,422,387,561,584,667,349,0,522,507,601,370,556,600,524,590,279,456,697,602,511,442,444,605,721,689,558,585
565,727,358,650,686,663,310,430,489,522,0,398,459,568,470,513,478,449,596,618,436,530,290,539,385,383,451,444,517,600
663,276,547,514,493,730,489,506,410,507,398,0,395,395,780,583,325,680,627,531,540,509,520,353,395,564,337,503,500,608
425,625,527,543,287,637,569,361,425,601,459,395,0,746,495,488,529,483,702,354,464,505,388,521,379,251,369,566,375,295
830,572,391,353,634,734,548,237,557,370,568,395,746,0,474,557,598,564,405,617,546,262,516,440,671,552,415,745,663,551
618,637,254,570,388,418,580,422,714,556,470,780,495,474,0,430,703,396,708,505,466,357,406,710,571,290,715,441,507,323
537,373,421,666,469,549,565,395,311,600,513,583,488,557,430,0,433,671,534,524,476,635,557,738,557,611,634,549,589,496
422,255,472,266,465,397,658,850,425,524,478,325,529,598,703,433,0,447,663,615,358,225,536,690,468,792,754,419,431,660
691,330,423,547,428,457,276,135,454,590,449,680,483,564,396,671,447,0,363,425,539,544,410,567,620,588,543,503,498,225
559,505,692,514,526,635,523,457,400,279,596,627,702,405,708,534,663,363,0,622,667,401,556,659,404,310,630,590,585,562
523,461,462,564,376,219,384,727,441,456,618,531,354,617,505,524,615,425,622,0,606,376,627,543,399,525,617,623,387,460
488,256,606,309,553,468,340,297,549,697,436,540,464,546,466,476,358,539,667,606,0,510,558,739,288,392,543,498,376,462
624,499,314,601,536,412,549,805,611,602,530,509,505,262,357,635,225,544,401,376,510,0,595,493,511,450,399,466,408,484
363,640,460,606,496,261,672,292,257,511,290,520,388,516,406,557,536,410,556,627,558,595,0,263,602,560,612,472,570,475
429,430,348,618,407,451,430,642,460,442,539,353,521,440,710,738,690,567,659,543,739,493,263,0,353,275,100,345,753,706
546,496,442,534,562,454,460,285,683,444,385,395,379,671,571,557,468,620,404,399,288,511,602,353,0,415,521,569,478,670
346,569,478,382,386,621,502,527,444,605,383,564,251,552,290,611,792,588,310,525,392,450,560,275,415,0,444,484,466,451
607,442,379,498,682,479,468,440,405,721,451,337,369,415,715,634,754,543,630,617,543,399,612,100,521,444,0,525,431,429
411,644,452,522,562,444,498,432,686,689,444,503,566,745,441,549,419,503,590,623,498,466,472,345,569,484,525,0,584,395
667,548,377,488,569,587,673,440,493,558,517,500,375,663,507,589,431,498,585,387,376,408,570,753,478,466,431,584,0,701
482,556,379,472,461,458,525,434,280,585,600,608,295,551,323,496,660,225,562,460,462,484,475,706,670,451,429,395,701,0
