LA34M,LA35F,LA36M,LA37M,LA38F,LA41M,LA42F,LA43F,LA44F,LA46F,LA50M,LA51M,LA52F,LA53F
0.0000,-0.0088,-0.0034,-0.0151,-0.0144,-0.0246,0.0113,0.0717,-0.0157,-0.0059,0.0190,-0.0007,0.2451,0.0886
-0.0088,0.0000,-0.0110,-0.0134,0.3598,-0.0307,0.0718,-0.0144,-0.0198,-0.0195,-0.0228,0.0023,-0.0243,-0.0131
-0.0034,-0.0110,0.0000,0.0119,0.0010,0.0748,0.0223,0.0039,0.0724,0.0154,0.0228,-0.0033,0.0047,0.0088
-0.0151,-0.0134,0.0119,0.0000,0.0035,0.0058,0.0172,-0.0145,0.0026,0.0230,0.0375,-0.0045,-0.0066,-0.0050
-0.0144,0.3598,0.0010,0.0035,0.0000,-0.0259,0.0553,-0.0142,-0.0175,-0.0204,-0.0057,-0.0099,-0.0175,-0.0117
-0.0246,-0.0307,0.0748,0.0058,-0.0259,0.0000,-0.0013,-0.0061,0.0890,0.0239,0.0077,0.0084,-0.0220,-0.0061
0.0113,0.0718,0.0223,0.0172,0.0553,-0.0013,0.0000,-0.0008,0.0032,-0.0011,0.0163,0.0185,-0.0132,0.0025
0.0717,-0.0144,0.0039,-0.0145,-0.0142,-0.0061,-0.0008,0.0000,-0.0128,-0.0050,0.0059,0.0013,0.2374,0.2995
-0.0157,-0.0198,0.0724,0.0026,-0.0175,0.0890,0.0032,-0.0128,0.0000,0.0603,-0.0113,-0.0103,-0.0188,-0.0215
-0.0059,-0.0195,0.0154,0.0230,-0.0204,0.0239,-0.0011,-0.0050,0.0603,0.0000,0.0028,-0.0047,-0.0041,0.0046
0.0190,-0.0228,0.0228,0.0375,-0.0057,0.0077,0.0163,0.0059,-0.0113,0.0028,0.0000,0.2093,0.0389,-0.0019
-0.0007,0.0023,-0.0033,-0.0045,-0.0099,0.0084,0.0185,0.0013,-0.0103,-0.0047,0.2093,0.0000,-0.0071,-0.0073
0.2451,-0.0243,0.0047,-0.0066,-0.0175,-0.0220,-0.0132,0.2374,-0.0188,-0.0041,0.0389,-0.0071,0.0000,0.3199
0.0886,-0.0131,0.0088,-0.0050,-0.0117,-0.0061,0.0025,0.2995,-0.0215,0.0046,-0.0019,-0.0073,0.3199,0.0000
