Name,Male,Female,AssignToFirstGroup,Alleles,Proven,Priority
Individual_1,1,0,-1,391,1,0
Individual_2,1,0,-1,767,1,0
Individual_3,0,1,-1,702,0,0
Individual_4,1,0,-1,302,0,0
Individual_5,1,0,-1,493,1,0
Individual_6,1,0,-1,599,1,0
Individual_7,1,0,-1,259,1,0
Individual_8,1,0,-1,218,0,0
Individual_9,0,1,-1,151,1,0
Individual_10,1,0,-1,635,0,0
Individual_11,0,1,-1,844,0,0
Individual_12,0,1,-1,460,0,0
Individual_13,0,1,-1,399,1,0
Individual_14,0,1,-1,439,0,0
Individual_15,0,1,-1,346,1,0
Individual_16,1,0,-1,425,1,0
Individual_17,0,1,-1,861,0,0
Individual_18,0,1,-1,799,0,0
Individual_19,0,1,-1,843,1,0
Individual_20,0,1,-1,383,0,0
Individual_21,1,0,-1,341,0,0
Individual_22,0,1,-1,659,1,0
Individual_23,0,1,-1,583,0,0
Individual_24,1,0,-1,882,0,0
Individual_25,0,1,-1,645,1,0
Individual_26,1,0,-1,239,1,0
Individual_27,1,0,-1,416,0,0
Individual_28,1,0,-1,535,0,0
Individual_29,1,0,-1,863,0,0
Individual_30,0,1,-1,530,0,0
Individual_31,0,1,-1,663,1,0
Individual_32,0,1,-1,801,1,0
Individual_33,1,0,-1,528,1,0
Individual_34,1,0,-1,755,1,0
Individual_35,1,0,-1,169,1,0
Individual_36,0,1,-1,636,1,0
Individual_37,1,0,-1,550,0,0
Individual_38,0,1,-1,727,1,0
Individual_39,0,1,-1,795,1,0
Individual_40,0,1,-1,824,1,0
Individual_41,1,0,-1,645,0,0
Individual_42,1,0,-1,618,0,0
Individual_43,0,1,-1,420,0,0
Individual_44,1,0,-1,727,0,0
Individual_45,0,1,-1,733,0,0
Individual_46,0,1,-1,514,1,0
Individual_47,1,0,-1,470,0,0
Individual_48,0,1,-1,482,1,0
Individual_49,1,0,-1,272,0,0
Individual_50,1,0,-1,407,1,0
