number_of_pairs,percent_allocated,av_time_to_first_solution_s,avg_across_x_runs,comments
1,4,NaN,NaN,INFEASIBLE
2,8,NaN,NaN,INFEASIBLE
3,12,3.12141,10,NaN
4,16,4.37613,10,NaN
5,20,7.468589,10,NaN
6,24,7.71267,10,NaN
7,28,34.19879,10,NaN
8,32,53.42916,10,NaN
9,36,10.25506,10,NaN
10,40,68.33896,10,NaN
11,44,111.88372,10,NaN
12,48,24.82242,10,NaN
13,52,29.25601,10,NaN
14,56,36.54632,3,NaN
15,60,83.46515,3,NaN
16,64,85.11252,3,NaN
17,68,85.54725,3,NaN
18,72,153.26078,3,NaN
19,76,175.48853,3,NaN
20,80,164.339707,NaN
21,84,181.35167,3,NaN
22,88,300.1393,NaN
23,92,NaN,NaN,UNKNOWN
24,96,NaN,NaN,INFEASIBLE
25,100,NaN,NaN,INFEASIBLE
