number_of_pairs,percent_allocated,time_to_first_solution_s
3,12,3.21798
3,12,3.62138
3,12,3.02939
3,12,2.85391
3,12,2.56228
3,12,2.5378
3,12,3.46623
3,12,2.73438
3,12,4.02336
3,12,3.16741
4,16,3.26541
4,16,3.15164
4,16,9.91407
4,16,3.20065
4,16,5.85678
4,16,3.11389
4,16,3.25319
4,16,5.44825
4,16,3.75361
4,16,2.80384
5,20,3.62031
5,20,6.14019
5,20,23.47774
5,20,5.50188
5,20,5.99879
5,20,6.25203
5,20,5.54355
5,20,5.79979
5,20,6.38474
5,20,5.96685
6,24,7.793443
6,24,7.71839
6,24,14.37825
6,24,7.58189
6,24,7.61409
6,24,6.52706
6,24,5.44505
6,24,6.76604
6,24,7.23519
6,24,6.06733
7,28,37.11965
7,28,25.54947
7,28,7.30992
7,28,69.07445
7,28,38.73493
7,28,15.18267
7,28,35.16987
7,28,43.03809
7,28,35.38048
7,28,35.42833
8,32,50.33642
8,32,61.2898
8,32,63.75871
8,32,53.50356
8,32,56.57592
8,32,48.64663
8,32,53.6749
8,32,40.21406
8,32,52.21851
8,32,54.0731
9,36,11.97634
9,36,9.06379
9,36,9.51985
9,36,9.91507
9,36,11.57245
9,36,10.18243
9,36,8.20046
9,36,9.8769
9,36,11.27117
9,36,10.97214
10,40,103.9016
10,40,111.5269
10,40,62.61404
10,40,121.919
10,40,52.06891
10,40,44.71998
10,40,22.31584
10,40,48.94269
10,40,63.31169
10,40,52.06891
11,44,187.39372
11,44,194.6216
11,44,30.10382
11,44,134.63762
11,44,193.94661
11,44,38.80223
11,44,207.09597
11,44,41.43326
11,44,41.77955
11,44,49.02286
12,48,18.94057
12,48,35.5127
12,48,9.78589
12,48,38.60367
12,48,17.86048
12,48,16.75795
12,48,17.1369
12,48,44.97859
12,48,30.63962
12,48,18.00786
13,52,26.79059
13,52,26.92901
13,52,32.37414
13,52,22.87657
13,52,31.03062
13,52,29.18407
13,52,29.54589
13,52,27.65695
13,52,33.37478
13,52,32.79747
14,56,41.13261
14,56,39.89924
14,56,28.60711
15,60,76.19946
15,60,137.13107
15,60,37.06493
16,64,79.79216
16,64,22.91973
16,64,152.62566
17,68,59.12219
17,68,62.3689
17,68,135.15066
18,72,48.94448
18,72,248.84586
18,72,161.99201
19,76,332.56257
19,76,40.6653
19,76,153.23773
20,80,109.28456
20,80,131.77335
20,80,251.96121
21,84,203.82743
21,84,181.06206
21,84,159.16552
22,88,483.22951
22,88,130.71153
22,88,286.47686
