num_individuals,num_pairings,percent_allocated,spread,av_num_solutions,av_time_to_first_sol_s,av_time_to_best_sol_s
30,4,26.7,100,8,0.352854,1.341718
30,4,26.7,250,6,0.419864,1.353584
30,4,26.7,400,0,INFEASIBLE,INFEASIBLE
30,4,26.7,550,3.6,0.515624,1.72382
30,4,26.7,700,6,0.288284,2.43008
30,4,26.7,850,6,0.570288,3.417338
30,4,26.7,1000,0,INFEASIBLE,INFEASIBLE
30,6,40,100,8,0.437044,1.784414
30,6,40,250,6.2,0.517738,5.808858
30,6,40,400,0,INFEASIBLE,INFEASIBLE
30,6,40,550,8,0.522338,3.500252
30,6,40,700,6,0.507858,2.535338
30,6,40,850,6.6,0.547642,10.484366
30,6,40,1000,0,INFEASIBLE,INFEASIBLE
30,8,53.3,100,6,0.495904,6.053212
30,8,53.3,250,10.4,0.88089,18.228856
30,8,53.3,400,0,INFEASIBLE,INFEASIBLE
30,8,53.3,550,9.6,0.660592,13.951136
30,8,53.3,700,7.4,0.54476,6.260986
30,8,53.3,850,6.2,0.9308,13.467594
30,8,53.3,1000,0,INFEASIBLE,INFEASIBLE
