number_of_pairs,percent_allocated,mean_time_to_first_solution_s,median_time_to_first_solution_s,runs_averaged,dataset
1,4,INFEASIBLE,INFEASIBLE,INFEASIBLE,synthetic_50
2,8,INFEASIBLE,INFEASIBLE,INFEASIBLE,synthetic_50
3,12,3.121412,3.0984,10,synthetic_50
4,16,4.376133,3.2593,10,synthetic_50
5,20,7.468587,5.98282,10,synthetic_50
6,24,7.7126733,7.40854,10,synthetic_50
7,28,34.198786,35.404405,10,synthetic_50
8,32,53.429161,53.58923,10,synthetic_50
9,36,10.25506,10.04875,10,synthetic_50
10,40,68.338956,57.341475,10,synthetic_50
11,44,111.88372,91.83024,10,synthetic_50
12,48,24.822423,18.474215,10,synthetic_50
13,52,29.256009,29.36498,10,synthetic_50
14,56,36.54632,39.89924,3,synthetic_50
15,60,83.4651533,76.19946,3,synthetic_50
16,64,85.11251667,79.79216,3,synthetic_50
17,68,85.54725,62.3689,3,synthetic_50
18,72,153.2607833,161.99201,3,synthetic_50
19,76,175.4885333,153.23773,3,synthetic_50
20,80,164.339707,131.77335,3,synthetic_50
21,84,181.35167,181.06206,3,synthetic_50
22,88,300.1393,286.47686,3,synthetic_50
23,92,INFEASIBLE,INFEASIBLE,INFEASIBLE,synthetic_50
24,96,INFEASIBLE,INFEASIBLE,INFEASIBLE,synthetic_50
25,100,INFEASIBLE,INFEASIBLE,INFEASIBLE,synthetic_50
