num_individuals,num_pairings,percent_allocated,distribution,spread,mean_num_solutions,mean_time_to_first_sol_s,mean_time_to_best_sol_s,med_num_solutions,med_time_to_first_sol_s,med_time_to_best_sol_s
30,4,26.7,uniform,100,8,0.352854,1.341718,8,0.33591,1.27207
30,4,26.7,uniform,250,6,0.419864,1.353584,6,0.42248,1.28683
30,4,26.7,uniform,400,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,4,26.7,uniform,550,3.6,0.515624,1.72382,4,0.51498,1.52466
30,4,26.7,uniform,700,6,0.288284,2.43008,6,0.27891,2.0411
30,4,26.7,uniform,850,6,0.570288,3.417338,5,0.52927,3.80084
30,4,26.7,uniform,1000,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,6,40,uniform,100,8,0.437044,1.784414,8,0.43435,1.48085
30,6,40,uniform,250,6.2,0.517738,5.808858,6,0.4937,5.58672
30,6,40,uniform,400,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,6,40,uniform,550,8,0.522338,3.500252,8,0.49962,3.50139
30,6,40,uniform,700,6,0.507858,2.535338,6,0.50023,2.2266
30,6,40,uniform,850,6.6,0.547642,10.484366,7,0.54109,9.16354
30,6,40,uniform,1000,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,8,53.3,uniform,100,6,0.495904,6.053212,6,0.48678,4.86634
30,8,53.3,uniform,250,10.4,0.88089,18.228856,11,0.88364,15.57528
30,8,53.3,uniform,400,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,8,53.3,uniform,550,9.6,0.660592,13.951136,9,0.66427,11.86909
30,8,53.3,uniform,700,7.4,0.54476,6.260986,7,0.53615,4.95004
30,8,53.3,uniform,850,6.2,0.9308,13.467594,6.2,0.9308,13.467594
30,8,53.3,uniform,1000,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,4,26.7,normal,100,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,4,26.7,normal,250,4.4,0.291952,1.054746,4,0.27535,1.08775
30,4,26.7,normal,400,6,0.25005,1.095898,5,0.23884,1.2673
30,4,26.7,normal,550,5,0.334022,17.003176,5,0.32933,16.11696
30,4,26.7,normal,700,4.6,0.526308,3.896448,5,0.39912,3.29109
30,4,26.7,normal,850,3,0.784286,7.954994,3,0.784286,7.954994
30,4,26.7,normal,1000,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,6,40,normal,100,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,6,40,normal,250,7.6,0.646246,6.414058,8,0.65693,5.35
30,6,40,normal,400,10,0.495836,3.44283,10,0.49502,2.14248
30,6,40,normal,550,6.4,0.922376,291.360238,6,0.8886,258.55086
30,6,40,normal,700,6.6,1.08297,127.280448,7,1.11392,97.74574
30,6,40,normal,850,9,1.588022,74.88962,9,1.40355,64.88254
30,6,40,normal,1000,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,8,53.3,normal,100,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
30,8,53.3,normal,250,6.2,1.395174,16.980204,6,1.48211,11.99487
30,8,53.3,normal,400,7.2,1.229324,29.994536,6,1.31196,29.70273
30,8,53.3,normal,550,7,1.088162,126.5771,6,1.10763,127.75153
30,8,53.3,normal,700,4.6,1.380628,169.756156,5,1.14296,80.05576
30,8,53.3,normal,850,6,0.862586,119.417032,6,0.85728,78.99779
30,8,53.3,normal,1000,0,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE
